Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R32,L vs Anisimova,0.0%,-,2.7%,50.0%,7.4%,25.0%,0.0%,8.7%,33.3%,0.0%,-,-44,-73
2026 Indian Wells R64,W vs Zakharova,0.0%,-,0.0%,0.0%,21.1%,33.3%,0.0%,12.0%,42.9%,0.0%,-,-16,51
2026 Cluj Napoca F,L vs Cirstea,0.0%,-,5.6%,60.0%,12.5%,10.5%,0.0%,6.7%,14.3%,0.8%,0.0%,124,99
2026 Australian Open R64,L vs Potapova,0.0%,-,3.9%,60.0%,5.6%,11.1%,0.0%,8.9%,17.4%,0.4%,0.0%,26,20
2026 Australian Open R128,W vs Sawangkaew,0.0%,-,8.0%,87.5%,24.7%,25.8%,0.0%,9.8%,41.7%,0.0%,-,49,16
2026 Hobart QF,L vs Preston,0.0%,-,0.8%,100.0%,3.7%,0.0%,0.0%,5.8%,0.0%,1.2%,0.0%,-33,-24
2025 US Open R32,L vs Rybakina,0.0%,-,1.1%,100.0%,17.1%,42.9%,0.0%,3.1%,0.0%,0.0%,-,-19,-43
2025 US Open R64,W vs Tjen,0.0%,-,2.3%,50.0%,19.6%,20.0%,0.0%,12.8%,100.0%,0.0%,-,-38,23
2025 US Open R128,W vs Shibahara,0.0%,-,6.9%,83.3%,8.8%,22.2%,0.0%,4.9%,20.0%,0.0%,-,-135,-107
2025 Cincinnati R32,L vs Sabalenka,0.0%,-,3.2%,62.5%,19.8%,31.3%,0.0%,13.0%,40.0%,0.8%,0.0%,-45,25
2025 Cincinnati R64,W vs Danilovic,0.0%,-,5.6%,66.7%,20.5%,50.0%,0.0%,13.5%,33.3%,0.0%,-,-25,43
2025 Montreal R32,L vs Anisimova,0.0%,-,1.1%,100.0%,23.3%,44.4%,0.0%,9.7%,50.0%,0.0%,-,-133,-84
2025 Montreal R128,W vs Ruse,0.0%,-,0.8%,0.0%,13.9%,21.1%,0.0%,8.3%,28.6%,0.6%,0.0%,-95,-48
2025 Washington SF,L vs Kalinskaya,0.0%,-,4.7%,66.7%,20.7%,36.4%,0.0%,5.1%,0.0%,0.0%,-,-57,-16
2025 Wimbledon R32,L vs Sabalenka,0.0%,-,9.2%,66.7%,11.7%,23.8%,0.0%,8.3%,30.0%,0.8%,0.0%,-41,-21
2025 Wimbledon R64,W vs Vondrousova,0.0%,-,8.7%,54.5%,9.1%,10.5%,0.0%,12.9%,16.7%,1.7%,50.0%,-39,-42
2025 Roland Garros R64,L vs Swiatek,0.0%,-,2.9%,33.3%,14.8%,45.5%,0.0%,1.9%,20.0%,1.7%,0.0%,-79,-82
2025 Rome R128,W vs Joint,0.0%,-,9.2%,60.0%,23.6%,28.0%,42.9%,7.8%,19.2%,1.5%,50.0%,10,21
2025 Madrid R128,W vs Lamens,0.0%,-,9.1%,57.1%,10.3%,13.8%,0.0%,7.4%,0.0%,1.5%,25.0%,-23,-26
2025 Miami QF,L vs Pegula,0.0%,-,11.8%,65.2%,10.3%,17.8%,0.0%,12.8%,27.8%,1.0%,25.0%,-54,-53
Last 52 Weeks (19 matches),,0.0%,-,4.9%,63.5%,15.0%,24.7%,10.7%,8.3%,23.9%,0.7%,22.2%,-30,-11
Career (81 matches),,0.0%,100.0%,5.9%,65.0%,13.0%,22.8%,16.1%,9.5%,24.4%,0.8%,36.3%,-27,-8
