Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R32,L vs Anisimova,25.6%,28.2%,15.4%,13.6%,13.6%,15.8%,30.0%,16.7%,0.0%,50.0%,57.1%,14.3%,0.0%,0.0%,0.0%,109
2026 Indian Wells R64,W vs Zakharova,32.6%,43.5%,57.1%,33.3%,45.5%,63.6%,85.7%,31.6%,-,40.0%,50.0%,33.3%,75.0%,50.0%,0.0%,174
2026 Cluj Napoca F,L vs Cirstea,17.3%,25.0%,29.7%,22.2%,33.3%,35.7%,35.0%,56.3%,71.4%,10.0%,10.0%,11.1%,25.0%,0.0%,0.0%,-47
2026 Australian Open R64,L vs Potapova,17.7%,21.0%,34.7%,20.9%,25.6%,32.4%,28.6%,27.6%,33.3%,11.8%,11.8%,40.0%,8.3%,20.0%,0.0%,2
2026 Australian Open R128,W vs Sawangkaew,15.1%,35.8%,62.8%,17.5%,40.0%,69.7%,57.1%,63.2%,100.0%,9.1%,27.3%,40.0%,0.0%,22.2%,-,-23
2026 Hobart QF,L vs Preston,12.7%,14.5%,43.2%,16.7%,19.4%,40.0%,42.9%,45.5%,25.0%,6.7%,6.7%,50.0%,0.0%,60.0%,-,-58
2025 US Open R32,L vs Rybakina,19.6%,28.3%,37.8%,27.6%,37.9%,47.6%,28.6%,46.7%,33.3%,5.9%,11.8%,25.0%,42.9%,10.0%,0.0%,-104
2025 US Open R64,W vs Tjen,38.3%,51.1%,55.2%,43.2%,54.1%,57.1%,50.0%,30.4%,50.0%,20.0%,40.0%,50.0%,57.1%,33.3%,-,-104
2025 US Open R128,W vs Shibahara,28.9%,37.8%,68.8%,24.2%,33.3%,76.0%,50.0%,23.5%,0.0%,41.7%,50.0%,42.9%,16.7%,33.3%,-,-104
2025 Cincinnati R32,L vs Sabalenka,35.1%,41.8%,50.0%,44.7%,54.1%,55.3%,61.1%,40.8%,40.0%,22.5%,25.0%,41.9%,30.0%,50.0%,50.0%,93
2025 Cincinnati R64,W vs Danilovic,42.9%,57.1%,57.1%,48.1%,63.0%,42.9%,66.7%,33.3%,0.0%,41.7%,58.3%,85.7%,20.0%,42.9%,-,137
2025 Montreal R32,L vs Anisimova,24.5%,34.7%,25.0%,26.5%,41.2%,32.0%,42.9%,60.0%,100.0%,21.4%,21.4%,9.1%,12.5%,50.0%,0.0%,-23
2025 Montreal R128,W vs Ruse,23.9%,26.9%,48.9%,27.3%,29.5%,43.8%,81.0%,26.1%,0.0%,21.1%,26.3%,60.0%,50.0%,63.6%,50.0%,81
2025 Washington SF,L vs Kalinskaya,25.0%,35.9%,43.2%,32.5%,47.5%,51.9%,52.2%,11.8%,0.0%,15.0%,20.0%,29.4%,14.3%,46.2%,100.0%,25
2025 Wimbledon R32,L vs Sabalenka,24.7%,30.6%,42.6%,23.8%,31.7%,47.9%,51.7%,38.2%,44.4%,31.6%,31.6%,23.1%,0.0%,23.1%,25.0%,61
2025 Wimbledon R64,W vs Vondrousova,22.6%,26.4%,58.5%,21.1%,26.3%,60.0%,62.5%,45.5%,100.0%,26.7%,26.7%,54.5%,85.7%,50.0%,0.0%,-104
2025 Roland Garros R64,L vs Swiatek,19.0%,21.4%,32.4%,24.0%,24.0%,36.8%,18.2%,57.1%,75.0%,11.8%,17.6%,26.7%,37.5%,66.7%,100.0%,-104
2025 Rome R128,W vs Joint,21.6%,36.3%,53.9%,27.0%,47.6%,58.7%,35.3%,69.0%,50.0%,14.3%,20.0%,46.7%,14.3%,38.1%,0.0%,20
2025 Madrid R128,W vs Lamens,25.7%,31.1%,46.3%,26.7%,35.6%,39.4%,30.0%,44.0%,50.0%,25.0%,25.0%,57.1%,0.0%,18.8%,0.0%,-62
2025 Miami QF,L vs Pegula,20.4%,30.1%,52.7%,21.5%,35.4%,56.9%,46.4%,48.6%,50.0%,17.9%,17.9%,43.5%,64.3%,35.7%,33.3%,-104
Last 52 Weeks (19 matches),,25.2%,33.3%,45.9%,28.3%,38.4%,48.7%,49.0%,41.0%,49.2%,21.5%,26.3%,39.9%,23.7%,36.9%,24.1%,47
Career (81 matches),,23.8%,32.3%,48.3%,26.9%,37.5%,52.0%,49.6%,41.0%,46.6%,20.3%,24.8%,40.0%,35.2%,33.7%,29.3%,59
