Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2021-05-31),895,22,,,,,,,,,,,,
2020,861,22,,,,,,,,,,,,
2019,814,22,,,,,,,,,,,,
2017,973,10,,,,,,,,,,,,
2016,397,89,,,,,,,,,,,,
2015,124,472,,,,,,,,,1102,11,,
2014,114,499,113,1664,112,1613,75,1657,75,1593,164,382,,
2013,78,797,47,1814,56,1734,40,1756,,,271,241,,
2012,61,1012,72,1766,73,1708,50,1731,44,1664,186,382,,
2011,82,824,52,1806,65,1726,45,1748,33,1708,312,202,,
2010,66,917,69,1766,132,1589,47,1759,42,1686,283,221,,
2009,215,244,,,,,,,,,,,,
2008,325,72,,,,,,,,,,,,
2007,256,106,,,,,,,,,,,,
2006,53,421,50,1805,91,1637,30,1777,41,1668,,,,
2005,187,184,,,,,,,,,,,,
2004,489,31,,,,,,,,,,,,
2003,953,4,,,,,,,,,,,,
2002,800,8,,,,,,,,,,,,
