Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 Wimbledon R64,L vs Svitolina,25.0%,25.0%,22.7%,37.5%,37.5%,30.0%,37.5%,25.0%,50.0%,20.0%,20.0%,16.7%,33.3%,33.3%,0.0%,54
2017 Bogota F,W vs Arruabarrena,20.9%,36.3%,50.7%,28.1%,47.4%,61.0%,32.3%,57.7%,83.3%,9.7%,19.4%,35.7%,33.3%,73.7%,66.7%,-17
2017 Indian Wells R128,L vs Chirico,11.5%,23.1%,48.8%,14.8%,29.6%,56.5%,53.3%,83.3%,100.0%,10.0%,20.0%,38.9%,0.0%,76.9%,100.0%,-27
2015 Roland Garros R64,W vs Kuznetsova,13.9%,25.7%,48.8%,15.7%,31.3%,57.1%,38.1%,43.9%,71.4%,12.1%,19.0%,37.3%,9.5%,45.9%,33.3%,-44
2014 Istanbul R32,W vs Jaksic,31.1%,35.6%,60.7%,36.0%,44.0%,62.5%,50.0%,33.3%,-,29.4%,29.4%,58.3%,20.0%,42.9%,100.0%,77
2011 Roland Garros F,L vs Li,32.4%,42.3%,42.6%,35.6%,51.1%,55.2%,60.0%,68.0%,75.0%,28.0%,28.0%,22.2%,50.0%,45.5%,50.0%,-104
2011 Roland Garros SF,W vs Bartoli,22.0%,30.0%,62.2%,22.6%,29.0%,54.2%,27.3%,55.0%,0.0%,23.5%,35.3%,76.9%,0.0%,70.0%,-,23
2011 Australian Open QF,L vs Wozniacki,15.5%,19.6%,45.3%,22.2%,29.6%,45.2%,33.3%,43.3%,25.0%,8.3%,8.3%,45.5%,30.0%,87.5%,100.0%,-38
2011 Australian Open R16,W vs Kuznetsova,16.4%,28.2%,49.0%,20.5%,36.6%,48.3%,40.0%,57.9%,50.0%,12.3%,19.2%,50.0%,14.3%,73.7%,85.7%,6
2010 WTA Championships RR,L vs Stosur,21.2%,27.3%,46.0%,28.2%,35.9%,42.9%,26.7%,54.2%,66.7%,12.0%,16.0%,50.0%,28.6%,54.5%,66.7%,-14
2010 Roland Garros F,W vs Stosur,31.0%,42.3%,58.3%,27.7%,42.6%,64.7%,45.8%,52.2%,100.0%,39.1%,43.5%,42.9%,33.3%,70.6%,0.0%,-54
2010 Roland Garros SF,W vs Dementieva,22.2%,33.3%,51.5%,29.6%,40.7%,63.2%,36.4%,81.3%,-,12.5%,25.0%,35.7%,25.0%,75.0%,-,9
2007 Fed Cup RR,L vs Kuznetsova,18.2%,31.3%,51.9%,21.7%,36.7%,53.2%,40.6%,57.1%,100.0%,14.3%,25.7%,50.0%,11.1%,57.7%,60.0%,20
2006 Fed Cup RR,L vs Henin,16.2%,27.0%,42.9%,14.9%,31.9%,40.0%,40.9%,32.0%,57.1%,23.8%,23.8%,50.0%,9.1%,50.0%,33.3%,94
2005 Moscow F,L vs Pierce,15.3%,22.0%,47.9%,13.8%,20.7%,56.0%,47.1%,41.7%,33.3%,17.9%,25.0%,39.1%,22.2%,52.6%,0.0%,-23
Career (15 matches),,19.6%,29.5%,49.0%,23.2%,36.5%,52.7%,40.4%,52.8%,58.5%,16.4%,22.3%,43.5%,21.4%,62.1%,57.1%,30
