Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2015 US Open R64,L vs Tomic,26.9%,34.4%,46.4%,30.8%,36.8%,47.1%,45.5%,44.0%,68.1%,37.5%,83.3%,16.7%,21.2%,47.3%,48
2014 Miami R64,L vs Nadal,18.0%,32.0%,41.5%,24.2%,21.6%,35.1%,37.9%,30.0%,72.2%,47.4%,50.0%,7.7%,23.1%,50.0%,-79
2014 Brisbane F,W vs Federer,27.7%,38.6%,54.4%,32.3%,38.8%,55.1%,66.7%,48.2%,61.9%,39.3%,60.0%,19.1%,25.5%,44.7%,40
2014 Brisbane SF,W vs Nishikori,40.2%,47.1%,50.0%,43.8%,62.2%,73.3%,70.6%,70.4%,61.9%,37.5%,0.0%,24.1%,27.8%,41.5%,1
2014 Brisbane R16,W vs Lopez,27.5%,38.8%,55.4%,33.4%,40.9%,56.8%,57.7%,51.6%,40.0%,42.1%,66.7%,11.8%,17.6%,53.3%,4
2013 US Open R16,L vs Youzhny,17.8%,23.3%,53.2%,21.6%,28.4%,35.1%,49.1%,35.8%,69.2%,40.0%,60.0%,7.9%,12.7%,56.9%,-42
2013 US Open R128,W vs Baker,27.4%,35.0%,46.1%,30.9%,38.5%,51.9%,56.3%,46.3%,56.0%,33.3%,50.0%,21.4%,25.0%,38.6%,85
2013 Newport F,L vs Mahut,33.0%,34.0%,43.6%,35.4%,40.9%,43.2%,38.5%,46.1%,40.9%,40.9%,50.0%,32.6%,32.6%,48.3%,172
2012 Olympics R16,L vs Djokovic,26.9%,33.3%,50.0%,31.8%,39.6%,47.9%,58.6%,47.5%,63.2%,44.8%,66.7%,6.9%,10.3%,40.7%,-45
2012 Australian Open R16,L vs Djokovic,21.0%,29.8%,43.5%,26.0%,28.4%,43.3%,54.2%,37.6%,74.3%,37.5%,25.0%,13.7%,15.7%,31.8%,17
2011 Davis Cup World Group PO RR,L vs Federer,35.5%,41.8%,44.3%,38.5%,56.3%,63.4%,41.9%,62.4%,67.6%,58.8%,75.0%,14.9%,20.9%,45.6%,-14
2011 Australian Open R128,L vs Nalbandian,23.9%,34.7%,51.2%,30.1%,31.7%,48.1%,57.7%,42.2%,72.2%,56.0%,60.0%,13.2%,16.2%,44.1%,18
2010 Halle F,W vs Federer,30.3%,34.3%,54.5%,33.8%,45.9%,47.5%,54.5%,51.6%,55.6%,50.0%,100.0%,5.7%,14.3%,54.5%,-60
2010 Australian Open R16,L vs Federer,20.2%,23.2%,42.5%,22.4%,29.8%,33.3%,42.5%,33.7%,85.2%,40.0%,37.5%,8.3%,11.1%,42.4%,-31
2009 US Open R32,L vs Federer,21.8%,34.5%,54.9%,26.7%,33.9%,44.6%,54.1%,43.6%,67.7%,36.0%,-,10.0%,26.0%,55.6%,-16
2009 Cincinnati QF,L vs Federer,29.2%,33.8%,44.2%,32.6%,45.2%,51.6%,41.2%,52.3%,60.0%,37.5%,0.0%,16.1%,19.4%,46.2%,44
2009 Wimbledon QF,L vs Roddick,35.9%,47.9%,49.1%,43.4%,48.7%,65.2%,54.2%,61.1%,62.7%,46.9%,50.0%,19.1%,25.0%,43.6%,68
2009 Houston F,W vs Odesnik,21.1%,26.3%,45.5%,24.0%,47.4%,52.6%,70.0%,56.3%,62.5%,27.3%,100.0%,11.5%,19.2%,34.8%,-8
2009 Memphis SF,L vs Roddick,33.7%,44.2%,56.7%,39.3%,47.1%,60.8%,70.4%,57.5%,61.9%,50.0%,100.0%,19.5%,26.8%,45.5%,-9
2008 Wimbledon R16,L vs Federer,29.9%,42.5%,53.3%,40.5%,38.2%,56.4%,64.7%,54.9%,72.0%,40.0%,0.0%,16.1%,19.4%,38.5%,-32
Career (135 matches),,26.8%,35.6%,52.7%,31.8%,38.4%,50.4%,57.2%,47.9%,58.1%,45.9%,49.1%,16.2%,22.2%,48.6%,44
