Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-28),1271,7,,,,,,,,,784,61,,
2023,533,92,,,,,,,,,,,,
2022,385,130,,,,,,,,,,,,
2021,611,66,,,,,,,,,,,,
2020,613,55,,,,,,,,,278,294,,
2019,599,51,,,,,,,,,269,274,,
2018,412,75,,,,,,,,,233,301,,
2017,290,169,,,,,,,,,306,209,,
2016,387,93,,,,,,,,,366,141,,
2015,719,25,,,,,,,,,619,54,,
2014,558,40,,,,,,,,,840,21,,
2013,551,58,292,1247,290,1246,270,1221,223,1268,300,209,,
2012,170,384,233,1438,233,1393,206,1425,,,247,255,,
2011,175,363,232,1427,223,1398,212,1405,,,279,246,,
2010,594,43,,,,,,,,,867,18,,
2009,667,33,,,,,,,,,,,,
