Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,1,3,25.0%,3-6,33.3%,34-43,44.2%,0-1,0.0%,4,52.6%,36.8%,2.9%,4.4%,70.6%,56.8%,43.8%,52.9%,42.8%,47.9%,0.91,R16 (Ostrava)
2025,25,10,15,40.0%,28-37,43.1%,293-321,47.7%,4-3,57.1%,24,62.4%,34.0%,0.5%,3.4%,69.3%,59.4%,44.7%,54.9%,43.2%,49.2%,0.96,SF (Jiujiang)
2024,27,13,14,48.1%,29-33,46.8%,278-300,48.1%,5-3,62.5%,25,58.4%,33.9%,0.8%,2.9%,71.4%,57.3%,44.1%,53.5%,42.8%,48.2%,0.92,W (Jiujiang)
2023,18,5,13,27.8%,13-26,33.3%,158-209,43.1%,3-3,50.0%,18,61.1%,24.7%,1.2%,4.0%,67.8%,64.3%,46.2%,58.5%,35.5%,47.0%,0.86,QF (Nottingham)
2022,39,19,20,48.7%,46-47,49.5%,421-453,48.2%,4-5,44.4%,36,56.7%,39.1%,0.8%,3.3%,68.2%,56.8%,44.5%,52.9%,44.5%,48.7%,0.95,SF (Nottingham)
2021,38,21,17,55.3%,49-40,55.1%,432-406,51.6%,6-3,66.7%,36,64.0%,39.0%,0.8%,2.7%,69.8%,60.5%,44.6%,55.7%,45.4%,50.6%,1.03,F (2x)
2020,3,0,3,0.0%,2-6,25.0%,31-43,41.9%,0-2,0.0%,3,50.0%,32.4%,0.8%,7.8%,60.4%,59.1%,35.6%,49.8%,43.1%,46.4%,0.86,R32 (Adelaide)
2019,28,13,15,46.4%,33-36,47.8%,311-337,48.0%,5-6,45.5%,28,54.6%,42.2%,0.7%,5.4%,65.6%,56.1%,42.9%,51.6%,46.9%,49.3%,0.97,SF (Guangzhou)
2018,15,3,12,20.0%,13-26,33.3%,172-206,45.5%,1-5,16.7%,15,56.2%,35.8%,1.0%,6.5%,63.6%,59.9%,39.6%,52.5%,43.8%,48.2%,0.92,R16 (2x)
2017,28,9,19,32.1%,29-45,39.2%,336-367,47.8%,1-5,16.7%,28,57.8%,37.5%,1.1%,4.2%,66.8%,57.0%,45.4%,53.2%,44.5%,48.9%,0.95,SF (Linz)
2016,30,19,11,63.3%,42-32,56.8%,383-345,52.6%,6-6,50.0%,30,63.7%,41.0%,0.9%,3.7%,67.7%,58.0%,50.0%,55.4%,46.4%,50.8%,1.04,W (Gstaad)
2014,2,1,1,50.0%,3-3,50.0%,29-25,53.7%,0-0,-,2,-,-,0.0%,4.7%,63.5%,53.7%,33.9%,46.5%,54.2%,50.3%,1.01,R16 (Shenzhen)
2013,2,1,1,50.0%,3-2,60.0%,20-21,48.8%,0-0,-,2,-,-,1.6%,7.3%,55.6%,72.5%,45.5%,60.5%,36.8%,49.0%,0.93,R16 (Bad Gastein)
Career,259,115,144,44.4%,293-339,46.4%,2898-3076,48.5%,35-42,45.5%,251,59.4%,37.2%,0.9%,4.0%,67.8%,58.5%,44.6%,54.0%,44.2%,49.2%,0.96,
