Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Jiangxi SF,L vs Tagger,9.9%,14.8%,50.0%,8.2%,14.8%,51.8%,40.6%,62.1%,66.7%,17.6%,17.6%,42.9%,0.0%,66.7%,100.0%,54
2025 Jiangxi R32,W vs Saigo,18.8%,21.9%,56.0%,15.6%,17.8%,60.5%,33.3%,38.1%,50.0%,29.4%,35.3%,41.7%,40.0%,58.3%,0.0%,23
2025 Osaka R32,W vs Andreescu,13.5%,18.3%,55.2%,10.3%,13.2%,55.7%,30.0%,15.8%,25.0%,21.2%,30.3%,53.8%,0.0%,18.8%,0.0%,-35
2025 BJK Cup Qualifiers RR,L vs Linette,16.7%,22.9%,52.6%,12.1%,21.2%,65.5%,53.3%,38.9%,50.0%,30.8%,30.8%,11.1%,0.0%,37.5%,0.0%,57
2024 Jiangxi F,W vs Sramkova,21.4%,28.6%,60.4%,24.0%,34.0%,60.5%,42.3%,62.5%,40.0%,16.7%,16.7%,60.0%,20.0%,7.7%,0.0%,17
2022 BJK Cup Finals RR,W vs Muchova,27.3%,29.1%,50.0%,23.1%,25.6%,53.3%,30.0%,42.1%,33.3%,37.5%,37.5%,40.0%,16.7%,80.0%,-,-104
2022 BJK Cup Finals RR,W vs Andreescu,23.4%,27.7%,47.8%,23.7%,28.8%,48.9%,24.0%,41.2%,50.0%,26.7%,30.0%,45.5%,5.9%,23.1%,20.0%,68
2022 Stuttgart R32,L vs Lys,10.3%,14.7%,44.0%,11.8%,15.1%,40.2%,37.8%,60.4%,46.2%,8.1%,16.2%,52.9%,11.8%,45.0%,37.5%,-36
2022 Miami R64,L vs Swiatek,4.5%,6.8%,33.3%,3.4%,6.9%,39.3%,37.5%,53.8%,40.0%,8.3%,8.3%,18.2%,0.0%,20.0%,-,-42
2022 Indian Wells R32,W vs Paolini,10.8%,17.6%,54.0%,8.8%,17.6%,48.4%,37.9%,33.3%,33.3%,16.7%,20.0%,68.0%,11.8%,30.8%,60.0%,38
2022 Doha R32,L vs Swiatek,14.9%,20.3%,42.6%,20.0%,24.0%,47.5%,43.5%,25.9%,50.0%,4.5%,13.6%,33.3%,23.1%,0.0%,0.0%,-71
2022 Melbourne QF,L vs Halep,11.1%,16.7%,40.4%,12.9%,17.1%,45.9%,43.8%,55.3%,66.7%,9.7%,19.4%,28.6%,13.3%,56.3%,85.7%,-28
2021 Tenerife R32,L vs Rus,6.7%,6.7%,50.0%,10.0%,10.0%,58.3%,47.8%,11.8%,50.0%,0.0%,0.0%,33.3%,20.0%,15.4%,33.3%,-119
2021 Indian Wells R32,L vs Kalinskaya,15.9%,22.0%,33.8%,19.6%,21.6%,29.3%,42.3%,24.0%,14.3%,11.1%,25.9%,41.7%,0.0%,12.5%,0.0%,-7
2021 US Open R128,L vs Andreescu,20.8%,31.1%,55.0%,23.6%,33.3%,56.4%,25.7%,37.8%,50.0%,16.7%,30.0%,52.0%,0.0%,22.2%,50.0%,38
2021 Wimbledon QF,L vs Pliskova,15.6%,21.9%,43.1%,10.3%,20.5%,51.4%,35.7%,60.0%,66.7%,27.3%,27.3%,25.0%,18.8%,100.0%,100.0%,41
2021 Wimbledon R16,W vs Keys,20.8%,33.3%,55.4%,20.8%,39.6%,60.5%,52.2%,28.0%,50.0%,21.7%,21.7%,44.4%,25.0%,66.7%,100.0%,-54
2021 Wimbledon R128,W vs Kudermetova,35.5%,39.5%,39.7%,39.3%,44.9%,46.3%,45.5%,37.8%,50.0%,27.3%,27.3%,25.0%,33.3%,61.1%,75.0%,-35
2021 Saint Malo F,W vs Paolini,20.3%,25.4%,53.3%,20.5%,25.0%,54.3%,23.8%,34.8%,25.0%,23.1%,30.8%,50.0%,16.7%,71.4%,100.0%,57
2021 Monterrey F,L vs Fernandez,10.9%,14.5%,46.8%,10.8%,16.2%,45.5%,33.3%,15.8%,50.0%,12.5%,12.5%,50.0%,62.5%,0.0%,0.0%,9
Last 52 Weeks (4 matches),,14.1%,18.9%,53.5%,11.1%,15.9%,57.1%,37.6%,36.8%,40.0%,23.8%,28.7%,42.6%,6.3%,43.8%,20.0%,18
Career (53 matches),,16.7%,22.5%,47.3%,18.1%,24.7%,48.1%,41.8%,38.1%,38.7%,16.0%,20.9%,45.5%,22.4%,39.9%,43.8%,42
