Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,8,5,3,62.5%,11-9,55.0%,97-85,53.3%,0-1,0.0%,8,56.5%,50.0%,0.4%,4.7%,72.6%,58.8%,34.6%,52.2%,49.9%,51.0%,1.04,F (Oeiras 125 Indoor 2)
2025,21,16,5,76.2%,32-17,65.3%,246-203,54.8%,2-1,66.7%,21,64.4%,45.1%,0.3%,2.8%,70.4%,59.2%,50.9%,56.8%,48.0%,52.4%,1.11,W (Suzhou 125)
2024,12,7,5,58.3%,13-11,54.2%,117-114,50.6%,1-0,100.0%,8,57.9%,44.3%,0.2%,5.3%,64.7%,60.1%,41.7%,53.6%,46.7%,50.2%,1.01,W (Limoges 125)
2023,22,19,3,86.4%,38-11,77.6%,277-168,62.2%,1-2,33.3%,5,80.9%,54.2%,0.3%,2.6%,66.3%,66.8%,51.9%,61.8%,50.9%,56.3%,1.33,W (3x)
2022,10,6,4,60.0%,13-10,56.5%,118-117,50.2%,5-2,71.4%,8,63.6%,39.1%,0.2%,3.5%,67.5%,61.6%,43.8%,55.8%,46.2%,51.1%,1.05,F (Rouen 125)
2021,23,20,3,87.0%,40-11,78.4%,283-188,60.1%,4-1,80.0%,5,74.5%,51.0%,0.5%,3.0%,74.2%,64.1%,47.9%,59.9%,50.5%,55.5%,1.26,W (2x)
2020,6,3,3,50.0%,7-6,53.8%,56-59,48.7%,1-0,100.0%,0,,,,,,,,,,,,QF (W80 Cagnes-sur-Mer)
2019,7,6,1,85.7%,12-4,75.0%,88-61,59.1%,1-1,50.0%,5,78.8%,49.0%,0.9%,5.2%,67.1%,65.7%,54.0%,61.8%,49.7%,55.6%,1.30,W (Indian Wells 125K)
2018,27,18,9,66.7%,39-24,61.9%,329-269,55.0%,7-4,63.6%,6,53.1%,47.7%,1.1%,10.0%,57.6%,61.0%,40.7%,52.4%,49.3%,50.9%,1.04,W (Poitiers $80K)
2017,16,10,6,62.5%,23-14,62.2%,203-157,56.4%,4-4,50.0%,7,70.0%,45.1%,1.3%,3.8%,65.4%,62.1%,50.0%,57.9%,49.2%,53.8%,1.17,SF (3x)
2016,12,9,3,75.0%,20-8,71.4%,150-113,57.0%,2-2,50.0%,0,,,,,,,,,,,,W (Hong Kong $25K)
2015,52,33,19,63.5%,77-48,61.6%,629-529,54.3%,3-5,37.5%,0,,,,,,,,,,,,W (2x)
2014,41,26,15,63.4%,56-33,62.9%,443-382,53.7%,6-1,85.7%,0,,,,,,,,,,,,F (4x)
2013,55,40,15,72.7%,85-43,66.4%,663-509,56.6%,5-7,41.7%,0,,,,,,,,,,,,W (3x)
2012,15,6,9,40.0%,18-21,46.2%,183-180,50.4%,1-2,33.3%,0,,,,,,,,,,,,QF (Tallinn 10K)
2011,29,19,10,65.5%,41-28,59.4%,330-288,53.4%,2-1,66.7%,0,,,,,,,,,,,,W (2x)
2010,14,5,9,35.7%,12-19,38.7%,121-147,45.1%,1-3,25.0%,0,,,,,,,,,,,,QF (Vinaros 10K)
2009,4,1,3,25.0%,3-6,33.3%,34-44,43.6%,0-0,-,0,,,,,,,,,,,,R16 (Budapest 10K)
2008,5,3,2,60.0%,6-6,50.0%,57-55,50.9%,1-1,50.0%,0,,,,,,,,,,,,QF (Budapest 10K)
Career,379,252,127,66.5%,546-329,62.4%,4424-3668,54.7%,47-38,55.3%,73,65.0%,46.3%,0.5%,4.2%,67.9%,61.2%,46.3%,56.4%,48.6%,52.5%,1.11,
