Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,165,74,91,44.8%,187-221,45.8%,1870-1993,48.4%,20-24,45.5%,160,59.3%,37.2%,0.8%,4.0%,68.4%,58.6%,44.6%,54.2%,44.2%,49.2%,0.97
Clay,49,18,31,36.7%,52-70,42.6%,524-603,46.5%,7-9,43.8%,49,54.7%,38.3%,0.9%,4.3%,66.3%,55.5%,44.2%,51.7%,44.4%,48.1%,0.92
Grass,42,21,21,50.0%,50-46,52.1%,473-463,50.5%,8-9,47.1%,42,65.7%,35.7%,1.0%,3.6%,67.0%,61.4%,44.9%,56.0%,44.0%,50.0%,1.00
Grand Slams,49,15,34,30.6%,45-75,37.5%,499-615,44.8%,8-6,57.1%,49,58.9%,29.1%,1.1%,4.0%,66.8%,59.4%,43.2%,54.0%,41.8%,47.9%,0.91
Premiers,26,8,18,30.8%,24-43,35.8%,275-356,43.6%,3-6,33.3%,26,51.5%,36.1%,0.2%,4.4%,66.3%,55.6%,40.2%,50.4%,43.9%,47.2%,0.88
Internationals,142,76,66,53.5%,179-163,52.3%,1647-1599,50.7%,18-24,42.9%,141,60.9%,40.9%,0.9%,3.8%,68.2%,58.5%,45.4%,54.3%,46.0%,50.2%,1.01
Finals,5,2,3,40.0%,4-7,36.4%,47-58,44.8%,0-0,-,5,62.0%,29.1%,0.3%,2.5%,69.5%,56.5%,50.9%,54.8%,41.9%,48.3%,0.93
Semi-finals,8,4,4,50.0%,11-9,55.0%,98-86,53.3%,1-1,50.0%,8,64.4%,42.4%,0.7%,3.2%,73.1%,59.4%,45.3%,55.6%,45.7%,50.5%,1.03
Quarter-finals,22,9,13,40.9%,26-29,47.3%,265-279,48.7%,5-4,55.6%,21,59.2%,38.8%,0.9%,4.3%,66.6%,58.3%,44.4%,53.6%,45.5%,49.6%,0.98
vs Righties,229,101,128,44.1%,257-300,46.1%,2547-2712,48.4%,30-41,42.3%,223,59.4%,37.6%,0.9%,3.9%,67.6%,58.4%,44.6%,54.0%,44.4%,49.2%,0.96
vs Lefties,24,10,14,41.7%,26-35,42.6%,274-312,46.8%,5-0,100.0%,24,59.3%,32.8%,1.1%,4.6%,68.2%,58.7%,44.2%,54.1%,42.2%,48.3%,0.92
vs Top 10,15,2,13,13.3%,7-28,20.0%,125-193,39.3%,0-2,0.0%,14,55.0%,26.6%,0.5%,4.7%,68.7%,56.1%,40.9%,51.4%,39.8%,45.6%,0.82
