Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R32,L vs Tiafoe,69.4%,38.4%,2.4%,2/1,1.93,13.1%,65.3%,32.7%,0.0%,1.95,16.7%,80.4%,45.9%,6.5%,1.87,5.3%
2026 Dubai R32,W vs Hurkacz,57.5%,50.0%,0.0%,0/0,2.24,20.0%,46.9%,43.5%,0.0%,2.25,50.0%,86.4%,57.9%,0.0%,2.24,0.0%
2026 Doha QF,W vs Sinner,72.2%,41.5%,3.3%,1/2,2.03,10.9%,73.7%,38.1%,1.8%,1.72,17.1%,71.9%,47.8%,6.3%,2.50,0.0%
2026 Australian Open R32,W vs Quinn,68.9%,50.7%,0.9%,0/1,2.29,35.4%,59.3%,46.9%,0.0%,2.37,45.2%,91.1%,53.7%,2.2%,2.22,26.5%
2026 Auckland F,W vs Baez,78.5%,41.2%,3.1%,1/1,2.34,9.7%,82.7%,39.5%,0.0%,2.18,27.3%,80.0%,50.0%,20.0%,2.42,0.0%
2026 United Cup QF,L vs Bergs,69.6%,47.3%,6.3%,3/2,2.52,6.9%,65.1%,42.9%,2.3%,2.22,11.1%,79.4%,51.9%,11.8%,3.00,0.0%
2026 United Cup RR,L vs De Minaur,72.6%,48.9%,9.7%,3/3,2.08,9.1%,68.4%,46.2%,5.3%,1.88,16.7%,79.2%,52.6%,16.7%,2.33,0.0%
2025 Canada R32,L vs Davidovich Fokina,68.8%,39.4%,4.2%,1/1,2.40,15.6%,72.0%,44.4%,0.0%,2.35,31.3%,68.2%,33.3%,9.1%,2.44,0.0%
2025 Rome R16,L vs Hurkacz,66.2%,46.5%,0.8%,0/1,2.15,23.9%,60.0%,45.1%,0.0%,2.28,57.1%,83.3%,48.6%,2.4%,2.08,2.3%
2025 Madrid QF,L vs Cerundolo,65.6%,37.3%,6.7%,2/4,2.34,16.1%,71.9%,36.6%,7.0%,2.19,29.0%,64.3%,38.9%,7.1%,2.54,0.0%
2025 Madrid R16,W vs Bublik,63.3%,67.7%,0.0%,0/0,2.41,47.8%,60.0%,55.6%,0.0%,2.55,90.9%,72.2%,84.6%,0.0%,2.29,8.3%
2025 Madrid R32,W vs Shelton,67.8%,65.0%,1.7%,0/1,2.05,31.6%,64.3%,61.1%,0.0%,2.05,60.0%,73.3%,68.2%,3.3%,2.06,0.0%
2025 Miami F,W vs Djokovic,70.3%,40.4%,4.1%,2/1,2.30,15.9%,66.1%,35.1%,3.6%,2.45,31.8%,88.2%,53.3%,5.9%,2.16,0.0%
2025 Miami SF,W vs Fritz,64.9%,43.2%,2.6%,3/0,2.06,12.2%,57.5%,37.0%,2.5%,2.13,16.7%,90.3%,53.6%,3.2%,1.95,5.3%
2025 Miami QF,W vs Fils,81.2%,46.4%,1.4%,0/1,1.85,25.0%,78.7%,37.8%,0.0%,1.59,54.5%,100.0%,63.2%,5.3%,2.08,0.0%
2025 Miami R64,W vs Draper,64.1%,49.2%,2.2%,2/0,2.24,16.3%,59.3%,45.7%,1.7%,2.23,31.8%,77.4%,54.2%,3.2%,2.26,0.0%
2025 Rotterdam R16,L vs De Minaur,75.0%,20.5%,1.9%,0/1,-,2.2%,77.1%,22.2%,0.0%,-,5.0%,80.0%,16.7%,6.7%,-,0.0%
2025 Australian Open R64,W vs Ruud,70.2%,54.1%,2.5%,3/0,2.26,10.6%,66.7%,53.8%,1.3%,1.99,18.9%,89.2%,54.5%,5.4%,2.59,0.0%
2025 Auckland R16,W vs Shelton,71.7%,48.4%,2.4%,2/1,2.34,12.3%,71.8%,50.8%,3.5%,2.41,24.2%,75.0%,43.3%,0.0%,2.28,0.0%
2025 Brisbane QF,L vs Mpetshi Perricard,47.2%,44.1%,1.4%,0/1,2.08,71.4%,42.6%,50.0%,0.0%,2.02,93.1%,60.9%,35.7%,4.3%,2.15,40.0%
Career (38 matches),,67.8%,45.0%,3.2%,56.7%,2.26,19.2%,64.3%,41.2%,2.0%,2.19,33.9%,81.0%,50.6%,5.9%,2.33,3.2%
