Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,22,15,7,68.2%,36-19,65.5%,296-257,53.5%,9-5,64.3%,21,83.5%,22.6%,15.4%,5.2%,60.9%,78.8%,46.6%,66.2%,37.6%,51.8%,1.11,W (Auckland)
2025,52,32,20,61.5%,81-52,60.9%,714-633,53.0%,18-13,58.1%,47,85.2%,19.4%,16.0%,4.7%,59.1%,78.2%,49.2%,66.3%,36.1%,51.2%,1.07,W (Miami Masters)
2024,46,26,20,56.5%,68-55,55.3%,611-591,50.8%,18-10,64.3%,46,81.3%,19.6%,12.3%,4.4%,59.3%,74.7%,47.9%,63.8%,35.7%,50.1%,0.98,F (Doha)
2023,4,3,1,75.0%,8-5,61.5%,60-58,50.8%,2-0,100.0%,4,82.8%,18.3%,10.2%,3.0%,54.2%,77.9%,54.9%,67.4%,34.3%,50.1%,1.05,
Career,124,76,48,61.3%,193-131,59.6%,1681-1539,52.2%,47-28,62.7%,118,83.3%,20.0%,14.3%,4.6%,59.3%,76.9%,48.5%,65.3%,36.1%,50.8%,1.04,
