Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),26,1700,16,1927,14,1891,29,1794,30,1725,,,,
2025,19,2150,28,1864,22,1839,34,1763,41,1693,,,,
2024,48,1136,37,1831,34,1787,39,1755,76,1616,,,,
2023,167,369,119,1653,132,1578,120,1610,,,,,,
2022,407,109,,,,,,,,,,,,
