Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,16,9,7,56.3%,21-17,55.3%,192-167,53.5%,2-2,50.0%,15,69.9%,37.4%,4.6%,4.2%,64.5%,65.2%,47.7%,59.0%,44.9%,51.8%,1.09,SF (2x)
2025,38,17,21,44.7%,42-51,45.2%,453-468,49.2%,7-7,50.0%,38,69.7%,28.7%,4.5%,4.1%,58.2%,65.8%,48.7%,58.7%,41.1%,49.8%,0.99,F (2x)
2024,12,7,5,58.3%,16-13,55.2%,139-124,52.9%,1-1,50.0%,12,75.2%,31.1%,7.5%,3.6%,60.2%,73.0%,45.2%,61.9%,40.8%,51.4%,1.07,SF (Nonthaburi 1)
2023,42,22,20,52.4%,50-49,50.5%,469-460,50.5%,4-6,40.0%,42,69.2%,32.2%,3.8%,3.5%,63.8%,65.5%,48.4%,59.4%,42.3%,50.6%,1.04,F (Banja Luka)
2022,41,19,22,46.3%,46-53,46.5%,477-506,48.5%,11-9,55.0%,40,72.8%,24.7%,4.2%,2.8%,65.1%,65.0%,51.1%,60.1%,38.6%,49.5%,0.97,W (Toulouse)
2021,38,17,21,44.7%,43-48,47.3%,424-398,51.6%,3-2,60.0%,38,75.3%,27.2%,4.2%,2.5%,66.1%,67.2%,49.8%,61.3%,41.0%,51.1%,1.06,F (Las Palmas 2)
2020,20,10,10,50.0%,23-26,46.9%,231-245,48.5%,2-3,40.0%,19,70.5%,27.0%,4.8%,2.5%,64.3%,66.1%,48.8%,59.9%,39.6%,49.6%,0.99,SF (Launceston)
2019,49,28,21,57.1%,65-57,53.3%,572-560,50.5%,7-5,58.3%,49,69.9%,31.2%,4.3%,2.4%,66.2%,65.7%,47.3%,59.5%,42.7%,50.8%,1.06,F (2x)
2018,38,19,19,50.0%,42-48,46.7%,409-441,48.1%,6-4,60.0%,38,68.6%,27.8%,3.5%,4.1%,71.3%,64.4%,44.3%,58.6%,40.7%,49.5%,0.98,W (Sevilla)
2017,32,13,19,40.6%,32-41,43.8%,314-345,47.6%,3-1,75.0%,32,65.2%,30.0%,4.5%,5.2%,61.7%,65.9%,44.4%,57.7%,41.6%,49.5%,0.98,SF (Rome )
2016,46,28,18,60.9%,63-46,57.8%,532-466,53.3%,5-4,55.6%,46,70.8%,36.2%,3.9%,5.2%,62.9%,66.7%,46.2%,59.1%,44.0%,51.4%,1.07,W (Tampere)
2015,50,32,18,64.0%,68-46,59.6%,573-486,54.1%,9-4,69.2%,48,75.4%,33.1%,4.5%,4.6%,64.8%,68.7%,48.7%,61.7%,42.6%,52.1%,1.11,W (2x)
2014,36,20,16,55.6%,47-41,53.4%,418-406,50.7%,2-6,25.0%,36,70.3%,31.6%,4.1%,4.9%,60.6%,67.4%,44.7%,58.5%,42.4%,50.3%,1.02,W (Meknes)
2013,16,7,9,43.8%,17-22,43.6%,173-191,47.5%,0-3,0.0%,16,63.9%,32.0%,4.9%,4.8%,59.1%,64.2%,44.2%,56.0%,42.1%,48.9%,0.96,SF (Meknes)
2012,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,0-0,-,2,76.5%,22.2%,2.6%,3.5%,54.4%,71.0%,51.9%,62.3%,40.6%,50.6%,1.08,R16 (Scheveningen)
Career,476,249,227,52.3%,577-560,50.7%,5393-5281,50.5%,62-57,52.1%,471,70.7%,30.5%,4.3%,3.8%,63.9%,66.3%,47.4%,59.5%,41.8%,50.5%,1.03,
