Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Roland Garros R32,L vs Rybakina,20.9%,35.8%,40.0%,24.4%,46.3%,45.2%,10.0%,52.4%,66.7%,22.2%,27.8%,28.6%,16.7%,75.0%,71.4%,58
2025 Stuttgart F,W vs Sabalenka,32.7%,48.1%,45.2%,41.9%,64.5%,66.7%,21.4%,41.2%,0.0%,23.5%,29.4%,15.4%,66.7%,75.0%,100.0%,100
2025 Stuttgart QF,W vs Swiatek,35.5%,48.7%,38.6%,33.3%,48.9%,43.3%,47.6%,54.2%,50.0%,46.2%,57.7%,28.6%,61.5%,38.5%,100.0%,91
2025 Doha F,L vs Anisimova,23.2%,40.6%,44.2%,32.5%,55.0%,48.1%,22.2%,22.7%,20.0%,15.8%,31.6%,37.5%,28.6%,25.0%,50.0%,0
2025 Doha SF,W vs Swiatek,39.6%,47.9%,52.0%,42.3%,53.8%,46.7%,28.6%,10.5%,0.0%,44.4%,50.0%,60.0%,100.0%,40.0%,-,115
2024 Guadalajara R16,L vs Stakusic,20.0%,39.2%,44.3%,29.8%,56.1%,50.0%,31.8%,51.4%,50.0%,15.2%,32.6%,38.5%,45.5%,29.2%,33.3%,9
2024 US Open R128,L vs Osaka,32.0%,40.0%,42.9%,38.7%,48.4%,36.8%,16.7%,47.4%,0.0%,30.8%,38.5%,55.6%,28.6%,83.3%,100.0%,123
2024 Toronto R32,W vs Badosa,28.3%,44.6%,45.3%,39.2%,58.8%,45.2%,25.0%,29.0%,66.7%,21.4%,39.3%,45.5%,50.0%,33.3%,0.0%,54
2024 Wimbledon QF,L vs Krejcikova,31.0%,42.9%,43.4%,39.0%,46.3%,36.0%,23.8%,25.0%,0.0%,26.3%,44.7%,50.0%,73.3%,21.7%,0.0%,36
2024 Wimbledon R16,W vs Putintseva,25.0%,42.6%,46.8%,31.7%,51.2%,46.4%,41.7%,35.3%,100.0%,17.4%,34.8%,47.4%,85.7%,12.5%,-,52
2024 Rome QF,L vs Sabalenka,28.6%,42.9%,46.3%,34.8%,52.2%,50.0%,52.2%,60.9%,100.0%,15.4%,23.1%,36.4%,57.1%,50.0%,100.0%,17
2024 Stuttgart R32,L vs Noskova,15.8%,26.3%,23.3%,20.8%,37.5%,36.8%,36.4%,38.5%,0.0%,8.3%,8.3%,0.0%,50.0%,66.7%,66.7%,-36
2024 Linz F,W vs Alexandrova,41.8%,52.7%,57.1%,48.6%,62.9%,50.0%,31.3%,21.1%,0.0%,37.5%,43.8%,70.0%,42.9%,44.4%,-,137
2024 Linz SF,W vs Pavlyuchenkova,34.8%,53.0%,56.1%,41.7%,62.5%,60.7%,38.1%,33.3%,40.0%,18.8%,31.3%,46.2%,44.4%,14.3%,0.0%,30
2024 Australian Open R32,L vs Azarenka,25.0%,39.6%,41.2%,31.0%,51.7%,55.0%,11.1%,50.0%,100.0%,17.6%,23.5%,21.4%,41.7%,40.0%,0.0%,23
2024 Adelaide F,W vs Kasatkina,26.7%,46.7%,50.0%,27.8%,55.6%,65.4%,35.0%,31.3%,50.0%,27.3%,36.4%,25.0%,14.3%,40.0%,66.7%,-3
2024 Adelaide SF,W vs Alexandrova,28.9%,46.1%,48.0%,38.1%,52.4%,46.2%,16.7%,43.3%,16.7%,20.0%,43.3%,50.0%,45.0%,40.0%,0.0%,38
2023 Seoul R32,L vs Back,17.0%,29.0%,47.3%,20.4%,42.6%,60.5%,57.7%,50.0%,50.0%,16.2%,16.2%,29.0%,86.7%,81.8%,50.0%,31
2023 US Open QF,L vs Gauff,11.1%,20.0%,31.6%,5.9%,29.4%,50.0%,14.3%,40.0%,0.0%,15.4%,15.4%,18.2%,71.4%,91.7%,100.0%,-18
2023 US Open R16,W vs Swiatek,37.7%,43.5%,32.5%,48.9%,57.8%,47.8%,25.0%,20.0%,50.0%,19.0%,19.0%,11.8%,36.4%,50.0%,100.0%,47
Last 52 Weeks (3 matches),,29.7%,44.1%,40.8%,32.5%,52.1%,49.4%,27.3%,50.0%,50.0%,32.8%,41.0%,24.4%,53.6%,60.6%,77.8%,159
Career (103 matches),,22.9%,34.9%,46.1%,27.5%,43.0%,50.4%,34.8%,36.4%,36.8%,20.5%,29.3%,40.0%,41.2%,54.4%,59.8%,77
