Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2014 Roland Garros R128,L vs Mladenovic,65.5%,45.5%,8.3%,1/6,2.57,7.3%,67.4%,37.9%,7.0%,2.53,10.3%,74.3%,53.8%,11.4%,2.66,0.0%
2014 Miami F,L vs Williams,65.2%,44.2%,15.2%,5/5,2.63,0.0%,71.4%,40.0%,25.0%,2.50,0.0%,69.7%,47.8%,9.1%,2.85,0.0%
2014 Australian Open F,W vs Cibulkova,76.7%,57.1%,2.7%,1/1,2.35,4.3%,83.7%,48.8%,4.1%,2.41,6.5%,88.2%,80.0%,0.0%,2.24,0.0%
2014 Australian Open SF,W vs Bouchard,76.5%,79.5%,11.8%,4/2,2.41,0.0%,70.8%,64.7%,8.3%,2.42,0.0%,88.0%,90.9%,16.0%,2.38,0.0%
2014 Australian Open R128,W vs Konjuh,76.9%,62.5%,7.7%,2/2,2.29,21.9%,78.6%,63.6%,7.1%,1.97,29.2%,94.7%,61.1%,10.5%,3.28,0.0%
2013 WTA Championships F,L vs Williams,63.6%,58.8%,6.5%,3/4,2.39,0.0%,63.6%,55.1%,6.5%,2.16,0.0%,82.6%,68.4%,8.7%,2.77,0.0%
2013 US Open SF,L vs Williams,64.8%,51.4%,5.6%,2/1,2.40,0.0%,57.6%,42.1%,6.1%,2.42,0.0%,80.0%,62.5%,5.0%,2.36,0.0%
2013 Cincinnati R64,W vs Davis,73.6%,67.9%,2.8%,1/1,2.37,0.0%,79.2%,60.5%,2.1%,2.36,0.0%,71.4%,86.7%,4.8%,2.38,0.0%
2013 Wimbledon QF,L vs Radwanska,71.3%,54.5%,1.9%,1/1,2.65,4.5%,73.5%,50.8%,1.2%,2.55,5.7%,80.0%,68.8%,5.0%,2.99,0.0%
2013 Stuttgart F,L vs Sharapova,62.0%,35.5%,10.0%,1/4,2.87,1.8%,65.8%,32.0%,10.5%,2.94,2.6%,66.7%,50.0%,11.1%,2.68,0.0%
2013 Stuttgart R16,W vs Lucic,76.6%,75.5%,4.7%,2/1,2.79,3.0%,82.1%,71.9%,0.0%,2.80,5.3%,81.0%,82.4%,14.3%,2.78,0.0%
2013 Australian Open F,L vs Azarenka,76.3%,59.5%,2.1%,1/1,2.65,3.9%,81.6%,56.5%,1.3%,2.69,4.0%,70.6%,75.0%,5.9%,2.57,3.7%
2013 Australian Open SF,W vs Sharapova,63.8%,65.9%,4.3%,0/3,3.06,2.4%,60.9%,60.7%,4.3%,3.08,4.0%,94.1%,75.0%,5.9%,3.04,0.0%
2012 Cincinnati F,W vs Kerber,79.2%,57.9%,1.0%,1/0,2.68,13.0%,75.4%,53.5%,1.8%,2.70,15.4%,89.2%,63.6%,0.0%,2.59,0.0%
2012 Montreal F,L vs Kvitova,66.7%,53.1%,0.0%,0/0,3.12,0.0%,61.3%,47.4%,0.0%,3.05,0.0%,92.9%,61.5%,0.0%,3.23,0.0%
2012 Rome F,L vs Sharapova,73.8%,46.8%,10.3%,9/2,2.15,1.1%,76.2%,43.8%,15.9%,2.20,0.0%,91.2%,51.6%,2.9%,2.04,3.6%
2012 Australian Open R16,L vs Clijsters,62.6%,59.7%,6.5%,2/5,2.10,8.1%,60.0%,50.0%,2.9%,2.07,10.6%,80.6%,76.0%,16.1%,2.14,3.7%
2012 Australian Open R128,W vs Pervak,76.8%,62.8%,3.6%,1/1,2.39,2.9%,90.3%,64.3%,6.5%,2.28,4.2%,75.0%,60.0%,0.0%,2.68,0.0%
2012 Sydney F,L vs Azarenka,75.0%,48.3%,2.5%,0/2,2.62,6.3%,79.2%,52.4%,1.9%,2.70,7.8%,90.0%,38.9%,5.0%,2.32,0.0%
2011 Wimbledon R64,L vs Lisicki,53.1%,55.8%,4.1%,2/2,2.79,3.1%,47.6%,53.3%,4.8%,2.93,2.1%,78.6%,59.1%,3.6%,2.42,5.9%
Career (31 matches),,68.5%,55.4%,5.7%,50.0%,2.51,5.2%,69.7%,51.1%,5.3%,2.50,6.6%,80.8%,63.1%,7.7%,2.55,2.1%
