Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2014 Roland Garros R128,L vs Mladenovic,27.7%,33.7%,45.5%,27.8%,35.2%,51.3%,12.0%,24.1%,25.0%,33.3%,37.5%,31.3%,0.0%,15.4%,33.3%,104
2014 Miami F,L vs Williams,16.9%,22.5%,40.8%,18.5%,25.9%,36.4%,28.6%,30.8%,33.3%,15.6%,18.8%,48.1%,0.0%,68.4%,77.8%,0
2014 Australian Open F,W vs Cibulkova,16.7%,25.0%,55.3%,13.9%,22.2%,51.6%,46.2%,21.7%,0.0%,23.8%,33.3%,62.5%,0.0%,36.4%,100.0%,47
2014 Australian Open SF,W vs Bouchard,20.3%,31.9%,48.0%,23.8%,35.7%,53.1%,38.1%,33.3%,40.0%,18.2%,31.8%,38.9%,18.2%,27.3%,-,52
2014 Australian Open R128,W vs Konjuh,28.9%,33.3%,56.3%,29.4%,35.3%,58.3%,50.0%,25.0%,0.0%,27.3%,27.3%,50.0%,0.0%,42.9%,-,-104
2013 WTA Championships F,L vs Williams,19.4%,27.8%,45.2%,23.5%,38.2%,46.2%,25.0%,38.9%,0.0%,27.3%,31.8%,43.8%,20.0%,33.3%,-,111
2013 US Open SF,L vs Williams,18.8%,21.9%,37.5%,20.0%,22.5%,37.5%,5.0%,15.0%,11.1%,20.0%,25.0%,37.5%,0.0%,10.0%,0.0%,73
2013 Cincinnati R64,W vs Davis,18.9%,27.0%,65.5%,21.3%,34.0%,78.4%,28.0%,13.6%,0.0%,18.2%,18.2%,38.9%,0.0%,26.7%,0.0%,52
2013 Wimbledon QF,L vs Radwanska,11.5%,19.8%,49.1%,12.0%,22.0%,50.0%,44.7%,30.2%,50.0%,11.1%,14.8%,45.8%,8.3%,73.3%,50.0%,-7
2013 Stuttgart F,L vs Sharapova,19.4%,27.8%,47.3%,22.0%,32.0%,56.4%,34.8%,37.0%,33.3%,15.8%,21.1%,25.0%,11.1%,30.0%,100.0%,38
2013 Stuttgart R16,W vs Lucic,24.5%,34.7%,50.0%,28.6%,39.3%,55.0%,40.0%,30.8%,50.0%,22.2%,33.3%,42.9%,12.5%,50.0%,0.0%,68
2013 Australian Open F,L vs Azarenka,11.6%,20.0%,41.8%,16.1%,21.0%,38.5%,33.3%,37.9%,25.0%,3.6%,21.4%,48.1%,0.0%,64.7%,66.7%,-84
2013 Australian Open SF,W vs Sharapova,33.3%,41.3%,43.9%,35.9%,38.5%,40.0%,37.5%,34.8%,50.0%,30.4%,47.8%,50.0%,7.7%,40.0%,0.0%,-54
2012 Cincinnati F,W vs Kerber,13.8%,31.0%,56.5%,11.4%,31.8%,51.3%,65.0%,37.5%,50.0%,30.0%,40.0%,85.7%,0.0%,28.6%,-,128
2012 Montreal F,L vs Kvitova,26.0%,29.2%,49.3%,33.9%,38.7%,53.7%,50.0%,36.7%,62.5%,13.3%,13.3%,42.3%,36.4%,31.6%,66.7%,17
2012 Rome F,L vs Sharapova,16.1%,25.0%,50.6%,18.7%,29.3%,52.5%,48.6%,47.4%,50.0%,12.5%,18.8%,46.4%,30.0%,68.2%,80.0%,6
2012 Australian Open R16,L vs Clijsters,20.0%,27.0%,50.0%,20.3%,28.8%,57.4%,46.2%,21.2%,0.0%,22.9%,28.6%,37.0%,17.6%,61.1%,100.0%,73
2012 Australian Open R128,W vs Pervak,17.1%,31.7%,52.9%,17.2%,37.9%,54.2%,23.1%,25.0%,0.0%,16.7%,16.7%,50.0%,0.0%,20.0%,-,-104
2012 Sydney F,L vs Azarenka,15.0%,21.3%,46.9%,13.6%,20.3%,47.1%,48.4%,32.1%,50.0%,23.5%,29.4%,46.2%,16.7%,63.6%,100.0%,100
2011 Wimbledon R64,L vs Lisicki,29.4%,38.2%,45.3%,34.7%,45.8%,46.8%,48.4%,29.3%,16.7%,22.7%,27.3%,41.2%,23.1%,77.8%,100.0%,82
Career (31 matches),,19.3%,28.1%,48.8%,21.7%,32.0%,50.6%,39.0%,31.7%,31.7%,17.1%,24.2%,44.7%,8.4%,49.2%,57.8%,50
