Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2004,286,89,,,,,,,,,,,,
2003,25,1139,26,1930,24,1859,17,1899,40,1696,,,,
2002,21,1220,21,1954,17,1887,11,1908,32,1707,,,,
2001,19,1474,18,1966,15,1887,12,1943,22,1738,,,,
2000,12,1752,13,2039,14,1950,8,1990,22,1779,,,,
1999,11,1846,22,1993,18,1932,15,1939,26,1773,,,,
1998,17,1752,18,2041,15,1964,11,2015,22,1766,,,,
1997,4,3131,9,2132,12,2013,9,2092,16,1823,,,,
1996,14,1484,20,1989,16,1926,13,1966,28,1758,,,,
1995,19,62,16,2034,14,1947,13,1988,20,1773,,,,
1994,18,68,17,2013,14,1951,17,1962,26,1758,,,,
1993,15,85,12,2079,12,2007,14,1976,30,1740,,,,
1992,17,55,28,1946,28,1857,23,1885,,,,,,
1991,68,17,62,1801,66,1708,37,1766,72,1611,,,,
1990,76,15,81,1759,71,1688,53,1715,95,1578,,,,
1989,63,18,58,1791,54,1709,45,1748,78,1577,,,,
1988,152,5,102,1680,97,1610,58,1684,101,1539,,,,
1986,191,2,238,1445,194,1432,,,,,,,,
