Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,43,31,12,72.1%,2,2,0,100.0%,1993,2004,SF,2,1.06,0.0%,1.5%,71.5%,52.0%,48.7%,51.1%,52.0%,50.0%,71.4%
Roland Garros,15,Clay,38,23,15,60.5%,6,4,2,66.7%,1989,2003,SF,1,0.84,1.2%,1.2%,79.3%,53.8%,29.4%,48.8%,43.0%,57.1%,62.5%
Wimbledon,15,Grass,34,19,15,55.9%,6,2,4,33.3%,1988,2003,R16,1,0.95,0.0%,2.9%,72.5%,60.8%,50.0%,57.8%,40.0%,58.3%,44.4%
US Open,16,Hard,41,25,16,61.0%,8,6,2,75.0%,1988,2003,QF,3,1.09,1.0%,4.7%,59.6%,64.3%,50.0%,58.5%,45.1%,61.9%,38.5%
Olympics,2,,7,5,2,71.4%,0,0,0,-,1992,2000,QF,0,,,,,,,,,,
Fed Cup,7,,34,25,9,73.5%,3,1,2,33.3%,1992,2003,,0,,,,,,,,,,
Indian Wells,12,Hard,34,22,12,64.7%,5,2,3,40.0%,1990,2003,F,0,,,,,,,,,,
Hilton Head,11,Clay,35,25,10,71.4%,7,3,4,42.9%,1989,2000,W,0,,,,,,,,,,
Amelia Island,11,Clay,34,23,11,67.6%,4,2,2,50.0%,1989,2003,F,0,,,,,,,,,,
Key Biscayne,11,Hard,31,20,11,64.5%,5,3,2,60.0%,1989,1999,QF,0,,,,,,,,,,
Tokyo,9,Carpet,27,16,11,59.3%,5,3,2,60.0%,1995,2003,F,0,,,,,,,,,,
Rome,11,Clay,25,14,11,56.0%,4,0,4,0.0%,1989,2003,SF,0,,,,,,,,,,
Sydney,11,Hard,19,8,11,42.1%,3,2,1,66.7%,1994,2004,QF,0,,,,,,,,,,
Filderstadt,10,Hard,17,7,10,41.2%,4,1,3,25.0%,1994,2003,SF,0,,,,,,,,,,
