Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
1999 Tokyo F,L vs Hingis,13% (1/8),100% (1/1),1/4,71% (5/7),0% (0/5),1/1,0/0,1/2,0/0,1/1
1997 Australian Open SF,L vs Pierce,30% (3/10),100% (3/3),1/5,78% (7/9),14% (1/7),2/3,0/0,2/3,0/0,0/0
1996 Australian Open SF,L vs Huber,29% (4/14),100% (4/4),3/6,50% (7/14),14% (1/7),2/3,0/0,1/1,0/0,0/0
1995 Canadian Open F,L vs Seles,29% (2/7),0% (0/2),0/4,83% (5/6),0% (0/5),0/0,0/0,0/1,0/0,0/0
1994 Indian Wells F,L vs Graf,13% (1/8),100% (1/1),0/3,63% (5/8),0% (0/5),0/1,0/0,1/3,0/0,1/2
1999 (1 matches),,12.5%,100.0%,25.0%,71.4%,0.0%,100.0%,-,50.0%,-,100.0%
1997 (1 matches),,30.0%,100.0%,20.0%,77.8%,14.3%,66.7%,-,66.7%,-,-
1996 (1 matches),,28.6%,100.0%,50.0%,50.0%,14.3%,66.7%,-,100.0%,-,-
1995 (1 matches),,28.6%,0.0%,0.0%,83.3%,0.0%,-,-,0.0%,-,-
1994 (1 matches),,12.5%,100.0%,0.0%,62.5%,0.0%,0.0%,-,33.3%,-,50.0%
Career (5 matches),,23.4%,81.8%,22.7%,65.9%,6.9%,62.5%,-,50.0%,-,66.7%
