Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,5,2,3,40.0%,5-6,45.5%,46-50,47.9%,1-0,100.0%,5,53.2%,39.6%,1.0%,5.2%,70.5%,58.1%,39.6%,52.6%,46.3%,49.4%,0.98
Clay,14,5,9,35.7%,10-20,33.3%,117-147,44.3%,0-3,0.0%,8,54.8%,28.8%,2.3%,8.7%,56.2%,56.9%,43.4%,51.0%,38.7%,44.9%,0.79
Internationals,5,1,4,20.0%,3-9,25.0%,39-64,37.9%,0-1,0.0%,5,51.1%,34.1%,1.8%,10.3%,56.0%,57.6%,39.3%,49.6%,39.0%,44.4%,0.77
vs Righties,12,3,9,25.0%,7-19,26.9%,90-137,39.6%,0-1,0.0%,9,46.8%,25.9%,1.2%,7.5%,57.8%,53.2%,41.7%,48.3%,38.6%,43.6%,0.75
vs Lefties,1,0,1,0.0%,1-2,33.3%,15-15,50.0%,0-1,0.0%,1,66.7%,35.7%,5.3%,8.4%,66.3%,65.1%,50.0%,60.0%,40.4%,49.7%,1.01
