Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),278,188,203,1570,178,1552,,,161,1498,,,,
2025,306,174,,,,,,,,,,,,
2024,546,67,212,1546,183,1520,,,171,1484,,,,
2023,108,608,142,1625,118,1607,205,1486,117,1546,,,,
2022,163,348,133,1647,115,1618,171,1536,110,1558,,,,
2021,128,569,126,1660,115,1624,143,1567,152,1505,,,,
2020,188,340,170,1551,166,1504,159,1509,,,319,169,,
2019,240,198,226,1518,200,1500,,,230,1391,382,112,,
2018,273,144,271,1455,232,1445,282,1375,236,1349,219,277,,
2017,170,313,147,1610,140,1578,,,174,1450,803,47,,
2016,302,160,321,1364,310,1335,297,1333,249,1309,305,225,,
2015,301,166,296,1413,279,1380,282,1365,252,1339,368,183,,
2014,196,254,194,1549,166,1537,,,,,292,228,,
2013,473,77,,,,,,,,,441,132,,
2012,885,13,,,,,,,,,917,30,,
2011,662,28,,,,,,,,,803,39,,
2010,1108,4,,,,,,,,,1176,12,,
2009,1597,1,,,,,,,,,,,,
