Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,24,11,13,45.8%,28-30,48.3%,273-275,49.8%,4-3,57.1%,20,70.9%,26.5%,4.2%,2.7%,59.3%,65.7%,50.1%,59.3%,37.8%,49.2%,0.93
Clay,5,1,4,20.0%,3-10,23.1%,48-70,40.7%,0-1,0.0%,5,63.2%,18.3%,2.1%,2.4%,63.1%,60.9%,48.2%,56.2%,36.2%,46.2%,0.83
Grass,27,9,18,33.3%,31-51,37.8%,350-412,45.9%,2-3,40.0%,27,72.4%,19.3%,5.1%,3.9%,61.2%,67.0%,47.8%,59.5%,35.3%,47.7%,0.87
Grand Slams,15,6,9,40.0%,22-35,38.6%,245-285,46.2%,1-2,33.3%,15,72.7%,19.6%,4.4%,3.1%,61.9%,66.2%,48.9%,59.6%,35.4%,47.8%,0.88
Masters,4,1,3,25.0%,4-6,40.0%,45-56,44.6%,2-0,100.0%,4,65.3%,22.0%,3.4%,3.1%,56.4%,65.2%,45.1%,56.4%,35.4%,46.2%,0.81
Other Tours,36,14,22,38.9%,36-47,43.4%,368-397,48.1%,3-4,42.9%,32,71.2%,23.3%,4.9%,3.6%,60.4%,66.3%,49.0%,59.4%,36.9%,48.6%,0.91
Best of 5,16,6,10,37.5%,22-38,36.7%,258-304,45.9%,1-3,25.0%,16,72.0%,19.6%,4.3%,3.1%,61.8%,65.8%,49.0%,59.4%,35.5%,47.7%,0.87
Best of 3,40,15,25,37.5%,40-53,43.0%,413-453,47.7%,5-4,55.6%,36,70.5%,23.2%,4.7%,3.6%,59.9%,66.1%,48.5%,59.1%,36.7%,48.3%,0.90
Quarter-finals,2,0,2,0.0%,1-2,33.3%,13-14,48.1%,0-0,-,1,64.3%,30.8%,4.0%,1.0%,64.4%,53.8%,58.3%,55.4%,40.7%,48.7%,0.91
vs Righties,45,18,27,40.0%,53-71,42.7%,551-606,47.6%,5-6,45.5%,41,72.5%,21.5%,4.9%,3.2%,61.3%,66.0%,50.3%,59.9%,35.9%,48.3%,0.90
vs Lefties,11,3,8,27.3%,9-20,31.0%,120-151,44.3%,1-1,50.0%,11,65.7%,22.2%,3.3%,4.1%,58.4%,66.1%,43.1%,56.5%,37.2%,47.3%,0.86
vs Top 10,4,1,3,25.0%,3-9,25.0%,51-62,45.1%,0-1,0.0%,4,74.5%,17.5%,3.0%,3.0%,63.3%,65.7%,49.6%,59.8%,34.5%,47.3%,0.86
