Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Wimbledon R128,L vs Van De Zandschulp,28% (5/18),60% (3/5),1/6,53% (9/17),22% (2/9),2/3,1/1,1/2,0/0,1/1
2023 Wimbledon R32,L vs Shapovalov,38% (8/21),63% (5/8),2/8,52% (11/21),27% (3/11),2/4,0/1,0/0,0/0,0/0
2023 Wimbledon R64,W vs Ruud,41% (9/22),67% (6/9),1/3,18% (4/22),25% (1/4),6/6,3/3,1/1,1/1,0/0
2023 Wimbledon R128,W vs Lestienne,71% (10/14),80% (8/10),2/3,36% (5/14),40% (2/5),5/6,1/1,0/0,0/0,0/0
2023 Queen's Club R32,L vs Mannarino,31% (4/13),75% (3/4),0/2,31% (4/13),25% (1/4),3/3,1/1,1/2,0/0,1/1
2023 Doha R16,L vs Medvedev,20% (2/10),100% (2/2),1/3,56% (5/9),20% (1/5),0/2,0/0,1/2,0/0,1/1
2022 Wimbledon R32,L vs De Minaur,25% (4/16),25% (1/4),0/4,40% (6/15),33% (2/6),0/1,0/0,3/3,0/0,1/1
2022 Wimbledon R64,W vs Schwartzman,38% (8/21),63% (5/8),0/3,32% (7/22),29% (2/7),5/5,2/2,2/4,1/1,2/2
2022 Wimbledon R128,W vs Klein,24% (6/25),100% (6/6),1/4,30% (8/27),50% (4/8),4/6,3/4,4/4,1/1,0/0
2021 Wimbledon R64,L vs Schwartzman,41% (7/17),43% (3/7),0/6,50% (9/18),11% (1/9),2/2,0/0,1/3,0/0,0/1
2021 Wimbledon R128,W vs Cecchinato,58% (7/12),71% (5/7),0/0,23% (3/13),100% (3/3),5/5,3/3,0/0,1/1,0/0
2020 Roland Garros R128,L vs Vesely,16% (3/19),67% (2/3),0/5,50% (9/18),33% (3/9),2/2,1/1,1/2,0/0,0/0
2019 M25 Champaign IL SF,L vs Crawford,33% (5/15),100% (5/5),1/6,43% (6/14),0% (0/6),2/4,0/1,1/1,0/0,0/0
2019 Nottingham CH R64,L vs Kamke,9% (1/11),100% (1/1),1/3,38% (5/13),20% (1/5),1/1,0/0,1/1,0/0,0/0
2019 Surbiton CH R64,L vs Kubler,43% (6/14),83% (5/6),2/5,75% (9/12),22% (2/9),2/2,0/0,0/2,0/0,0/1
2019 Busan CH R32,L vs Berankis,36% (5/14),60% (3/5),0/2,33% (5/15),60% (3/5),2/3,1/2,2/2,0/1,1/1
2019 Busan CH R64,W vs Xia,67% (6/9),100% (6/6),1/3,30% (3/10),0% (0/3),4/5,1/1,2/2,1/1,0/0
2019 Puerto Vallarta CH R64,L vs Tabilo,38% (5/13),60% (3/5),1/4,50% (6/12),33% (2/6),2/3,1/1,2/2,0/0,1/1
2019 Leon CH F,L vs Rola,20% (3/15),67% (2/3),0/2,50% (7/14),57% (4/7),2/2,1/1,0/1,0/0,0/0
2019 Leon CH QF,W vs Ofner,47% (7/15),71% (5/7),2/4,50% (8/16),50% (4/8),3/4,1/1,1/1,1/1,0/0
2024 (1 matches),,27.8%,60.0%,16.7%,52.9%,22.2%,66.7%,100.0%,50.0%,-,100.0%
2023 (5 matches),,41.3%,72.7%,31.6%,36.7%,27.6%,76.2%,83.3%,60.0%,100.0%,100.0%
2022 (3 matches),,29.0%,66.7%,9.1%,32.8%,38.1%,75.0%,83.3%,81.8%,100.0%,100.0%
2021 (2 matches),,48.3%,57.1%,0.0%,38.7%,33.3%,100.0%,100.0%,33.3%,100.0%,0.0%
2020 (1 matches),,15.8%,66.7%,0.0%,50.0%,33.3%,100.0%,100.0%,50.0%,-,-
Career (118 matches),,32.7%,67.0%,20.9%,41.3%,28.9%,77.9%,72.1%,59.7%,71.4%,58.9%
