Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 Wimbledon R128,L vs Van De Zandschulp,102.8,108.5,7.3,110.4,107.4,117,68,93.8,6.4,92.7,96.0,103,62
2023 Wimbledon R32,L vs Shapovalov,102.6,111.4,6.0,113.6,109.4,121,95,91.5,5.8,91.4,89.4,100,75
2023 Wimbledon R64,W vs Ruud,102.9,112.1,4.7,112.6,109.8,120,100,90.8,3.0,89.3,91.5,99,83
2022 Wimbledon R32,L vs De Minaur,102.0,110.8,6.1,114.3,106.6,123,91,83.1,5.3,88.0,82.0,94,73
2022 Wimbledon R64,W vs Schwartzman,99.3,107.0,8.8,109.4,106.2,122,84,80.2,4.8,81.0,79.3,91,72
2021 Wimbledon R64,L vs Schwartzman,101.1,107.5,7.3,109.8,103.2,120,95,88.5,3.4,88.3,90.0,94,80
2021 Wimbledon R128,W vs Cecchinato,104.4,108.4,6.8,111.7,104.0,124,95,91.9,2.3,90.8,91.0,96,87
2018 Wimbledon R128,L vs Raonic,101.0,107.3,10.9,111.5,98.1,126,69,89.7,4.7,89.8,87.3,96,78
2016 Wimbledon R128,L vs Murray,99.1,103.8,8.3,106.4,98.9,119,83,88.6,3.7,93.5,92.0,96,81
2015 Wimbledon R64,L vs Goffin,103.7,110.1,8.4,,,123,70,94.4,5.0,,,108,85
2015 Wimbledon R128,W vs Matosevic,104.9,110.7,6.9,,,124,95,97.0,3.9,,,104,86
Career (11 matches),,102.2,108.9,7.4,111.3,105.4,126,68,90.3,4.5,88.8,89.3,108,62
