Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),216,271,273,1495,250,1465,318,1377,,,,,,
2025,220,259,225,1536,205,1507,291,1398,,,,,,
2024,239,240,330,1415,303,1394,,,256,1309,278,236,,
2023,208,295,213,1530,182,1515,323,1341,210,1408,,,,
2022,221,250,276,1468,243,1451,,,,,,,,
2021,362,123,,,,,,,,,,,,
2020,490,71,,,,,,,,,353,143,,
2019,498,59,,,,,,,,,313,165,,
2018,618,3,,,,,,,,,306,126,,
2017,1588,2,,,,,,,,,925,34,,
2016,1097,8,,,,,,,,,1047,25,,
2015,1896,1,,,,,,,,,,,,
