Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Hong Kong R16,L vs Kalinskaya,10,26,0.4,11.8%,30.6%,9,24,0.4,11.7%,31.2%,3.9%,7.8%,0.9,14.1%,15.3%
2025 Beijing R32,L vs Anisimova,6,16,0.4,4.7%,12.5%,5,14,0.4,4.4%,12.3%,1.8%,1.8%,1.1,25.0%,23.4%
2024 US Open R128,L vs Krueger,22,26,0.8,14.0%,16.6%,19,23,0.8,13.4%,16.2%,7.7%,5.6%,1.0,20.4%,19.7%
2024 Wimbledon R128,L vs Kasatkina,23,29,0.8,20.7%,26.1%,22,29,0.8,21.6%,28.4%,9.8%,11.8%,1.6,14.4%,9.0%
2023 Wimbledon R128,L vs Vekic,17,23,0.7,16.2%,21.9%,16,22,0.7,16.5%,22.7%,9.3%,6.2%,1.8,21.9%,12.4%
2023 Roland Garros R128,L vs Frech,8,27,0.3,10.8%,36.5%,8,20,0.4,12.3%,30.8%,7.7%,4.6%,2.3,21.6%,9.5%
2022 Tokyo SF,L vs Samsonova,13,8,1.6,9.8%,6.0%,13,7,1.9,11.1%,6.0%,5.1%,6.0%,2.0,30.1%,15.0%
2022 Tokyo QF,W vs Martic,24,16,1.5,18.6%,12.4%,20,14,1.4,17.7%,12.4%,11.5%,6.2%,1.1,13.2%,12.4%
2022 US Open R16,L vs Gauff,26,29,0.9,14.8%,16.5%,24,24,1.0,15.4%,15.4%,7.7%,7.7%,1.3,18.8%,14.2%
2022 US Open R32,W vs Marino,14,15,0.9,12.6%,13.5%,12,13,0.9,11.5%,12.5%,8.7%,1.9%,0.9,14.4%,16.2%
2022 US Open R64,W vs Schmiedlova,24,17,1.4,19.4%,13.7%,20,16,1.3,17.5%,14.0%,9.6%,7.0%,0.8,12.1%,14.5%
2022 US Open R128,W vs Teichmann,17,10,1.7,15.3%,9.0%,15,9,1.7,15.5%,9.3%,6.2%,8.2%,0.6,15.3%,24.3%
2022 Cincinnati QF,L vs Sabalenka,16,28,0.6,9.3%,16.3%,13,26,0.5,8.8%,17.6%,3.4%,4.7%,1.2,25.0%,20.9%
2022 Toronto R32,L vs Halep,15,33,0.5,13.4%,29.5%,15,27,0.6,15.2%,27.3%,10.1%,5.1%,0.7,9.8%,13.4%
2022 Wimbledon R32,L vs Garcia,26,18,1.4,14.1%,9.8%,23,16,1.4,14.3%,9.9%,8.1%,5.6%,1.5,21.7%,14.7%
2022 Wimbledon R64,W vs Kostyuk,24,25,1.0,16.1%,16.8%,24,25,1.0,17.1%,17.9%,10.7%,5.7%,0.9,14.8%,16.8%
2022 Wimbledon R128,W vs Doi,24,16,1.5,24.0%,16.0%,21,16,1.3,22.6%,17.2%,11.8%,9.7%,0.4,8.0%,21.0%
2022 Birmingham F,L vs Haddad Maia,13,13,1.0,20.6%,20.6%,10,13,0.8,17.2%,22.4%,10.3%,5.2%,2.0,15.9%,7.9%
2022 Rome R32,L vs Sabalenka,3,17,0.2,3.7%,21.0%,2,14,0.1,2.9%,20.0%,2.9%,0.0%,2.0,27.2%,13.6%
2022 Madrid R64,L vs Halep,14,29,0.5,13.3%,27.6%,13,28,0.5,13.4%,28.9%,7.2%,5.2%,1.1,12.4%,11.4%
Career (95 matches),,1730,2289,0.8,13.5%,17.9%,1599,2100,0.8,13.5%,17.7%,7.0%,4.3%,0.9,17.1%,19.2%
