Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Hong Kong R16,L vs Kalinskaya,62.5%,50.0%,8.3%,3/1,2.49,14.3%,62.9%,45.5%,8.6%,2.31,20.0%,80.0%,62.5%,10.0%,2.94,0.0%
2025 Beijing R32,L vs Anisimova,61.7%,40.5%,18.3%,6/5,2.74,2.3%,60.6%,30.0%,15.2%,2.78,4.0%,73.9%,52.9%,26.1%,2.70,0.0%
2024 US Open R128,L vs Krueger,72.7%,51.8%,7.8%,3/3,2.34,20.0%,66.7%,50.0%,2.2%,2.22,28.6%,92.9%,53.8%,17.9%,2.61,0.0%
2023 Roland Garros R128,L vs Frech,69.2%,40.7%,7.7%,1/2,2.33,8.0%,73.1%,47.4%,3.8%,2.37,0.0%,61.5%,25.0%,15.4%,2.28,20.0%
2022 Tokyo SF,L vs Samsonova,57.8%,48.6%,12.5%,4/4,2.63,1.8%,45.9%,58.8%,10.8%,2.58,2.4%,80.0%,40.0%,16.0%,2.78,0.0%
2022 Tokyo QF,W vs Martic,67.9%,69.4%,17.0%,7/2,2.40,34.4%,54.8%,70.6%,16.1%,2.41,40.0%,95.0%,68.4%,20.0%,2.37,9.1%
2022 US Open R16,L vs Gauff,69.9%,46.6%,4.8%,2/2,2.06,1.4%,75.0%,51.1%,3.3%,2.10,2.2%,86.7%,30.8%,13.3%,2.00,0.0%
2022 Cincinnati QF,L vs Sabalenka,65.6%,52.5%,9.7%,6/3,2.51,8.5%,66.7%,47.2%,7.4%,2.54,8.9%,92.6%,60.0%,18.5%,2.39,7.1%
2022 Toronto R32,L vs Halep,61.1%,54.5%,5.6%,2/1,2.46,0.0%,61.3%,47.4%,3.2%,2.41,0.0%,70.0%,64.3%,10.0%,2.55,0.0%
2022 Birmingham F,L vs Haddad Maia,66.7%,50.0%,14.3%,1/2,2.86,12.9%,75.0%,44.4%,8.3%,2.90,17.4%,62.5%,60.0%,25.0%,2.73,0.0%
2022 Rome R32,L vs Sabalenka,60.0%,41.7%,12.5%,3/2,2.54,0.0%,53.3%,37.5%,6.7%,2.56,0.0%,88.9%,50.0%,33.3%,2.53,0.0%
2022 Madrid R64,L vs Halep,69.4%,41.2%,6.1%,2/1,2.59,0.0%,65.6%,33.3%,6.3%,2.70,0.0%,86.7%,53.8%,6.7%,2.46,0.0%
2022 Indian Wells R64,L vs Saville,75.0%,50.9%,1.3%,1/0,-,21.4%,76.4%,54.8%,0.0%,-,28.6%,83.3%,40.0%,5.6%,-,7.1%
2022 Lyon F,W vs Yastremska,65.8%,56.0%,13.2%,4/6,2.70,0.0%,58.7%,44.4%,10.9%,2.76,0.0%,85.2%,69.6%,18.5%,2.57,0.0%
2022 Melbourne R32,L vs Burel,69.4%,37.2%,3.2%,1/1,2.51,5.9%,69.2%,38.9%,7.7%,2.39,9.4%,80.6%,36.0%,0.0%,2.72,0.0%
2021 Indian Wells R128,L vs Kostyuk,71.6%,58.5%,10.8%,4/4,2.36,5.2%,64.1%,56.0%,7.7%,2.37,7.5%,84.8%,60.7%,15.2%,2.34,0.0%
2021 US Open R64,L vs Raducanu,65.2%,36.7%,32.6%,7/8,2.46,0.0%,60.6%,25.0%,36.4%,2.39,0.0%,76.9%,60.0%,23.1%,2.66,0.0%
2021 San Jose R32,W vs Raducanu,68.7%,65.2%,6.0%,2/2,2.08,9.1%,66.7%,53.3%,4.4%,1.96,13.8%,84.2%,87.5%,10.5%,2.32,0.0%
2021 Nottingham F,L vs Konta,59.0%,43.5%,25.6%,6/4,2.72,4.8%,52.0%,38.5%,28.0%,2.86,3.7%,76.9%,50.0%,23.1%,2.48,6.7%
2021 Stuttgart R32,L vs Sabalenka,62.0%,38.7%,10.0%,2/3,2.75,17.1%,48.3%,28.6%,6.9%,2.78,24.1%,85.0%,47.1%,15.0%,2.68,0.0%
Last 52 Weeks (2 matches),,62.0%,44.8%,13.9%,60.0%,2.64,6.9%,61.8%,38.1%,11.8%,2.57,11.1%,75.8%,56.0%,21.2%,2.77,0.0%
Career (47 matches),,71.3%,50.6%,9.0%,54.8%,2.53,7.0%,70.2%,48.1%,7.1%,2.50,9.6%,83.5%,54.5%,14.1%,2.61,1.5%
