Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),62,1031,95,1733,87,1702,125,1598,71,1636,13,5381,,
2025,81,843,80,1751,69,1725,122,1607,64,1645,16,4095
2024,205,340,141,1637,131,1614,145,1549,92,1585,27,3142
2023,245,308,119,1654,99,1636,133,1565,70,1604,,
2022,25,1600,67,1764,67,1715,80,1641,32,1703,,
2021,60,1096,87,1725,89,1679,99,1627,59,1638,,
2020,35,1693,34,1824,39,1773,50,1707,,,27,3010
2019,40,1355,55,1813,50,1779,79,1662,58,1653,10,4705
2018,40,1190,57,1805,48,1778,74,1666,93,1568,33,2130
2017,36,1470,34,1858,29,1839,75,1662,68,1620,63,1138
2016,23,1860,32,1856,27,1830,76,1656,68,1620,232,271
2015,139,403,145,1585,145,1541,128,1550,129,1508,446,97
2014,61,855,76,1750,92,1680,67,1672,65,1614,62,1193
2013,52,1113,45,1817,44,1768,62,1688,,,57,1601
2012,127,547,142,1611,137,1570,130,1582,132,1499,34,2265
2011,126,525,120,1650,120,1599,110,1597,125,1514,49,1685
2010,90,731,97,1716,104,1639,73,1682,110,1536,159,459
2009,154,373,159,1588,136,1578,,,158,1465,,
2008,235,121,152,1606,146,1564,166,1497,,,,
2007,149,226,240,1439,226,1409,252,1332,,,,
2006,203,133,,,,,,,,,,
2005,646,19,,,,,,,,,,
2004,910,7,,,,,,,,,,
