Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Hong Kong R16,L vs Kalinskaya,2.9,2.9,2.9,40.4%,28.6%,14.3%,-,47.1%,7.4%,-5.5,-12.0,-1.0,-2.0
2025 Beijing R32,L vs Anisimova,2.8,2.7,2.8,44.6%,37.0%,62.5%,0.0%,51.6%,6.8%,-0.5,-0.8,-1.5,-2.8
2024 US Open R128,L vs Krueger,3.8,3.8,3.8,47.2%,51.0%,72.7%,50.0%,56.3%,3.8%,10.0,7.8,5.0,5.2
2023 Roland Garros R128,L vs Frech,4.2,4.2,4.2,23.3%,35.7%,37.5%,44.4%,52.2%,4.7%,-4.0,-6.0,-6.0,-10.0
2022 Tokyo SF,L vs Samsonova,3.5,4.3,2.6,42.5%,40.6%,50.0%,66.7%,48.2%,1.2%,5.5,7.5,12.0,14.3
2022 Tokyo QF,W vs Martic,3.9,4.0,3.8,48.7%,68.8%,66.7%,66.7%,62.4%,6.8%,19.5,17.3,14.0,20.6
2022 US Open R16,L vs Gauff,4.7,5.1,4.1,55.3%,47.8%,32.1%,41.2%,40.9%,2.5%,8.0,6.0,5.0,2.6
2022 Cincinnati QF,L vs Sabalenka,3.0,3.0,3.0,47.3%,38.3%,54.5%,100.0%,46.6%,2.0%,-10.5,-13.6,4.5,4.5
2022 Toronto R32,L vs Halep,3.9,4.1,3.7,39.1%,55.6%,46.2%,25.0%,61.2%,0.0%,2.5,2.2,0.0,0.0
2022 Birmingham F,L vs Haddad Maia,3.1,3.1,3.2,47.7%,27.3%,71.4%,100.0%,63.0%,11.1%,2.0,5.3,-2.0,-8.3
2022 Rome R32,L vs Sabalenka,2.7,2.8,2.7,33.3%,23.5%,66.7%,100.0%,44.4%,4.4%,-1.0,-2.8,-7.0,-16.3
2022 Madrid R64,L vs Halep,3.6,3.7,3.4,46.8%,39.3%,23.1%,0.0%,53.5%,4.2%,8.5,10.5,-14.5,-21.0
2022 Indian Wells R64,L vs Saville,4.9,4.7,5.0,34.5%,64.3%,34.5%,69.2%,57.5%,7.4%,-5.5,-3.5,-5.5,-5.0
2022 Lyon F,W vs Yastremska,3.2,3.1,3.3,50.0%,56.4%,37.5%,42.9%,49.2%,16.2%,5.5,6.2,7.0,8.5
2022 Melbourne R32,L vs Burel,3.6,3.8,3.3,53.5%,36.7%,38.5%,25.0%,65.5%,4.2%,-12.5,-9.7,-8.0,-11.8
2021 Indian Wells R128,L vs Kostyuk,3.4,3.4,3.5,38.6%,54.5%,75.0%,50.0%,49.8%,0.9%,7.0,6.9,-3.0,-2.9
2021 US Open R64,L vs Raducanu,4.1,4.0,4.2,40.3%,29.6%,73.7%,20.0%,56.4%,1.1%,11.5,10.2,1.0,1.1
2021 San Jose R32,W vs Raducanu,4.3,4.5,4.1,49.2%,64.9%,66.7%,57.1%,46.8%,4.3%,11.5,11.7,10.0,9.0
2021 Nottingham F,L vs Konta,3.2,3.3,3.0,34.5%,40.9%,33.3%,100.0%,49.5%,10.4%,3.0,7.5,1.5,3.7
2021 Stuttgart R32,L vs Sabalenka,2.8,3.1,2.4,42.7%,29.4%,25.0%,33.3%,44.7%,5.3%,-2.0,-5.0,-3.5,-6.5
Last 52 Weeks (2 matches),,2.8,2.8,2.9,43.0%,33.3%,40.0%,0.0%,49.6%,7.1%,-3.0,-5.5,-1.3,-2.4
Career (47 matches),,3.9,4.0,3.9,45.8%,49.7%,49.3%,45.0%,51.6%,5.7%,3.0,2.9,2.1,2.2
