Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Las Vegas CH R32,W vs Torpegaard,1.67,1.89,38.0,2.2,26.7%,76.7%,23.1%,73.1%,24.0%,33.3%
2017 Fairfield CH R32,L vs Rubin,0.87,0.65,64.2,2.2,22.2%,70.4%,14.3%,63.3%,19.5%,30.6%
2017 Monterrey CH R32,W vs Sanchez,1.19,1.47,47.8,2.1,10.8%,70.3%,26.5%,70.6%,43.2%,29.4%
2017 Tiburon CH R32,L vs Krueger,0.76,0.66,51.7,2.2,9.4%,59.4%,14.3%,53.6%,39.5%,35.3%
2017 Aptos CH SF,L vs Bublik,0.99,0.72,56.4,2.3,7.9%,55.3%,12.1%,57.6%,29.4%,34.4%
2017 Aptos CH QF,W vs Santillan,1.18,1.34,59.7,3.3,25.0%,67.5%,18.9%,70.3%,40.0%,30.6%
2017 Aptos CH R16,W vs Jung,1.02,1.45,47.4,5.9,25.0%,75.0%,22.2%,63.9%,36.6%,50.0%
2017 Aptos CH R32,W vs Fratangelo,1.08,1.21,57.0,4.0,10.3%,70.7%,13.7%,64.7%,32.2%,40.4%
2017 Newport R16,L vs Isner,0.89,0.42,34.7,2.3,6.3%,56.3%,14.8%,59.3%,37.5%,0.0%
2017 Newport R32,W vs Krajicek,1.21,1.09,62.8,8.5,24.1%,70.7%,14.8%,68.5%,27.5%,27.3%
2017 Ilkley CH SF,L vs Bolt,0.93,0.47,40.2,2.1,10.0%,53.3%,11.5%,73.1%,21.4%,16.7%
2017 Ilkley CH QF,W vs Fratangelo,1.17,1.93,55.6,2.3,21.2%,78.8%,27.6%,86.2%,29.4%,29.0%
2017 Ilkley CH R16,W vs Willis,1.02,1.54,52.7,4.1,10.6%,78.7%,12.8%,74.4%,42.6%,27.5%
2017 Ilkley CH R32,W vs King,0.95,1.90,52.9,2.2,10.3%,82.8%,28.0%,76.0%,34.9%,47.4%
2017 Nottingham CH SF,L vs Fabbiano,0.64,0.61,38.5,2.1,27.6%,72.4%,29.2%,54.2%,32.4%,36.4%
2017 Nottingham CH QF,W vs Smith,0.93,1.91,51.1,2.2,9.7%,80.6%,22.2%,81.5%,34.3%,44.1%
2017 Nottingham CH R16,W vs Klein,1.18,1.72,48.9,2.5,6.5%,77.4%,25.0%,75.0%,29.6%,40.9%
2017 Nottingham CH R32,W vs Polansky,1.10,1.55,60.1,2.0,25.7%,77.1%,23.5%,76.5%,33.3%,31.4%
2017 Heilbronn CH R32,L vs Martin,0.98,0.72,48.0,2.1,0.0%,37.1%,11.8%,58.8%,41.9%,33.3%
2017 Rome  CH R32,L vs Coppejans,1.21,0.62,44.2,2.0,0.0%,47.1%,8.8%,50.0%,25.9%,27.3%
2017 (27 matches),,1.04,1.02,54.5,2.6,14.4%,67.5%,16.3%,67.4%,31.8%,32.4%
2016 (43 matches),,0.99,0.94,55.4,2.5,20.3%,66.7%,18.1%,67.9%,30.1%,32.2%
2015 (27 matches),,1.07,1.04,53.2,2.8,17.4%,66.9%,17.9%,71.6%,31.2%,28.9%
2014 (47 matches),,1.01,1.09,62.0,2.8,20.6%,69.2%,17.9%,71.0%,31.3%,33.4%
2013 (44 matches),,1.03,1.15,57.3,2.8,20.3%,69.6%,18.1%,67.8%,34.1%,36.0%
Career (204 matches),,1.02,1.04,57.1,2.7,19.1%,68.2%,17.8%,68.9%,31.7%,32.8%
