Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,10,6,4,60.0%,15-9,62.5%,119-96,55.3%,0-2,0.0%,10,70.1%,41.5%,2.3%,7.8%,59.5%,64.9%,47.0%,57.7%,44.4%,51.4%,1.05,QF (3x)
2025,61,42,19,68.9%,90-52,63.4%,734-593,55.3%,8-7,53.3%,57,66.8%,44.8%,1.8%,5.4%,65.0%,63.0%,47.5%,57.6%,47.6%,52.5%,1.12,W (4x)
2024,23,8,15,34.8%,20-35,36.4%,227-260,46.6%,0-2,0.0%,0,,,,,,,,,,,,QF (2x)
2023,40,18,22,45.0%,44-49,47.3%,427-414,50.8%,2-3,40.0%,0,,,,,,,,,,,,F (W15 Baku)
2022,43,25,18,58.1%,54-43,55.7%,464-432,51.8%,6-5,54.5%,0,,,,,,,,,,,,F (W15 Eindhoven)
Career,177,99,78,55.9%,223-188,54.3%,1971-1795,52.3%,16-19,45.7%,67,67.3%,44.3%,1.9%,5.8%,64.1%,63.3%,47.4%,57.6%,47.1%,52.3%,1.11,
