Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R16,W vs Andreeva,70.2%,52.1%,3.8%,4/0,2.47,18.0%,65.5%,55.3%,3.4%,2.38,23.7%,83.3%,48.6%,4.8%,2.77,0.0%
2026 Indian Wells QF,L vs Sabalenka,61.9%,40.4%,4.8%,2/2,2.20,19.1%,58.8%,50.0%,3.9%,2.19,30.0%,81.5%,27.3%,7.4%,2.22,0.0%
2026 Indian Wells R16,W vs Anisimova,71.0%,67.3%,2.9%,1/1,2.37,13.0%,66.7%,64.7%,3.9%,2.46,17.6%,93.8%,73.3%,0.0%,2.12,0.0%
2026 Doha F,L vs Muchova,69.5%,36.6%,3.4%,2/0,2.48,20.8%,69.2%,29.6%,2.6%,2.54,29.4%,82.4%,50.0%,5.9%,2.38,5.3%
2026 Doha R16,W vs Andreeva,78.8%,51.2%,1.9%,1/1,2.10,15.2%,77.5%,50.9%,0.0%,2.07,19.1%,93.1%,51.9%,6.9%,2.18,5.3%
2026 Australian Open R64,W vs Mcnally,81.8%,51.9%,4.5%,2/1,2.85,19.5%,88.4%,44.7%,2.3%,2.97,24.0%,94.1%,68.8%,11.8%,2.66,12.5%
2026 Australian Open R128,W vs Jones,71.4%,58.0%,5.7%,2/2,2.44,12.5%,70.5%,54.8%,4.5%,2.54,21.1%,90.5%,63.2%,9.5%,2.29,0.0%
2026 Adelaide F,L vs Andreeva,68.3%,35.7%,4.9%,1/1,2.26,20.5%,65.6%,38.1%,0.0%,2.13,26.7%,87.5%,28.6%,25.0%,2.72,0.0%
2026 Adelaide SF,W vs Birrell,80.4%,62.2%,0.0%,0/0,2.26,5.0%,83.3%,64.0%,0.0%,2.39,0.0%,92.3%,58.3%,0.0%,1.75,25.0%
2025 Hong Kong F,W vs Bucsa,84.8%,50.9%,3.2%,3/1,2.65,4.7%,81.7%,44.8%,3.7%,2.62,7.8%,93.0%,60.0%,2.3%,2.68,0.0%
2025 Tokyo R16,W vs Lys,83.3%,62.2%,5.6%,2/1,2.58,5.9%,82.9%,64.7%,4.9%,2.40,8.3%,91.7%,54.5%,8.3%,3.02,0.0%
2025 Tokyo R32,W vs Andreescu,80.8%,50.0%,3.8%,2/0,2.24,18.9%,83.9%,46.2%,0.0%,2.24,25.9%,80.0%,56.3%,10.0%,2.24,0.0%
2025 Ningbo R32,L vs Yastremska,67.0%,52.5%,13.6%,7/5,2.72,0.0%,79.2%,57.9%,6.3%,2.73,0.0%,67.7%,42.9%,29.0%,2.68,0.0%
2025 Wuhan R64,L vs Alexandrova,61.7%,37.8%,3.3%,2/0,2.33,0.0%,68.8%,45.5%,3.1%,2.33,0.0%,71.4%,26.7%,4.8%,2.33,0.0%
2025 US Open R128,L vs Krejcikova,60.4%,31.0%,6.3%,1/2,2.26,40.0%,60.7%,29.4%,7.1%,2.35,52.8%,70.6%,33.3%,5.9%,2.01,7.1%
2025 Montreal F,W vs Osaka,79.1%,61.8%,7.0%,4/2,2.45,0.0%,82.0%,56.1%,4.0%,2.25,0.0%,87.1%,70.4%,12.9%,2.87,0.0%
2025 Montreal SF,W vs Rybakina,80.2%,56.2%,8.1%,6/3,2.51,4.9%,72.4%,59.5%,8.6%,2.46,6.1%,90.4%,53.2%,7.7%,2.73,0.0%
2025 Montreal QF,W vs Bouzas Maneiro,73.7%,61.9%,5.3%,1/2,2.65,17.1%,78.4%,51.7%,5.4%,2.73,21.7%,86.7%,84.6%,6.7%,2.52,8.3%
2025 Montreal R16,W vs Gauff,68.1%,46.9%,6.4%,3/0,2.56,0.0%,80.0%,37.5%,10.0%,2.77,0.0%,76.2%,56.3%,4.8%,2.24,0.0%
2025 Montreal R32,W vs Bouzkova,80.3%,61.4%,1.4%,1/0,2.12,8.5%,81.0%,55.9%,0.0%,2.01,12.5%,95.8%,69.6%,4.2%,2.37,0.0%
Last 52 Weeks (25 matches),,74.2%,53.2%,4.6%,64.2%,2.45,12.9%,74.7%,51.8%,3.4%,2.43,17.2%,84.6%,55.4%,7.7%,2.49,3.9%
Career (27 matches),,74.3%,52.9%,4.6%,62.4%,2.45,12.3%,74.4%,51.8%,3.3%,2.43,16.6%,84.8%,54.4%,7.4%,2.49,3.5%
