Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,6,6,0,100.0%,12-0,100.0%,73-30,70.9%,0-0,-,0,,,,,,,,,,,
Grass,7,5,2,71.4%,11-5,68.8%,80-69,53.7%,0-0,-,0,,,,,,,,,,,
Carpet,4,4,0,100.0%,8-1,88.9%,62-42,59.6%,0-0,-,0,,,,,,,,,,,
Other Tours,43,39,4,90.7%,78-16,83.0%,551-343,61.6%,0-0,-,0,,,,,,,,,,,
Best of 5,2,1,1,50.0%,4-3,57.1%,30-29,50.8%,0-0,-,0,,,,,,,,,,,
Best of 3,40,38,2,95.0%,74-12,86.0%,518-306,62.9%,0-0,-,0,,,,,,,,,,,
Finals,7,7,0,100.0%,14-2,87.5%,104-73,58.8%,0-0,-,0,,,,,,,,,,,
Semi-finals,8,7,1,87.5%,14-4,77.8%,100-69,59.2%,0-0,-,0,,,,,,,,,,,
Quarter-finals,10,9,1,90.0%,18-5,78.3%,139-96,59.1%,0-0,-,0,,,,,,,,,,,
vs Righties,25,23,2,92.0%,44-8,84.6%,321-216,59.8%,0-0,-,0,,,,,,,,,,,
vs Lefties,3,2,1,66.7%,6-3,66.7%,46-38,54.8%,0-0,-,0,,,,,,,,,,,
