Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,818,25,,,,,,,,,420,168,,
2019,737,30,,,,,,,,,374,176,,
2018,311,141,,,,,,,,,195,350,,
2018,311,141,,,,,,,,,195,350,,
2017,171,336,209,1421,204,1396,203,1292,176,1374,128,538,,
2016,303,147,,,,,,,,,201,332,,
2015,648,31,,,,,,,,,148,452,,
2014,375,86,,,,,,,,,335,144,,
2013,842,20,,,,,,,,,304,206,,
2012,664,33,,,,,,,,,507,81,,
2011,669,34,,,,,,,,,427,121,,
2010,,,,,,,,,,,919,14,,
