Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,9,2,7,22.2%,6-11,35.3%,74-85,46.5%,1-0,100.0%,9,73.2%,19.0%,7.0%,4.6%,59.9%,67.8%,47.3%,59.6%,35.0%,47.7%,0.87
Clay,4,1,3,25.0%,2-6,25.0%,33-43,43.4%,0-1,0.0%,4,61.1%,28.2%,3.4%,5.6%,55.3%,65.3%,38.7%,53.4%,37.9%,46.1%,0.81
Grass,2,0,2,0.0%,0-4,0.0%,12-24,33.3%,0-0,-,2,61.1%,5.6%,3.5%,7.0%,57.0%,61.5%,46.9%,55.3%,30.9%,43.3%,0.69
Masters,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,4.8%,6.5%,58.1%,63.9%,38.5%,53.2%,30.5%,42.1%,0.65
Other Tours,11,2,9,18.2%,6-17,26.1%,100-126,44.2%,1-1,50.0%,11,67.6%,20.9%,4.6%,5.5%,57.6%,65.4%,45.4%,56.9%,35.4%,46.7%,0.82
Best of 5,3,1,2,33.3%,2-2,50.0%,14-14,50.0%,0-0,-,3,75.0%,21.2%,10.3%,3.4%,61.6%,71.2%,44.9%,61.1%,36.2%,48.5%,0.93
Best of 3,12,2,10,16.7%,6-19,24.0%,105-138,43.2%,1-1,50.0%,12,67.2%,19.4%,4.6%,5.5%,57.6%,65.3%,44.9%,56.6%,35.0%,46.4%,0.81
vs Righties,14,2,12,14.3%,6-21,22.2%,106-144,42.4%,0-1,0.0%,14,68.8%,17.7%,5.6%,5.3%,58.4%,66.8%,44.1%,57.4%,34.2%,46.2%,0.80
vs Lefties,1,1,0,100.0%,2-0,100.0%,13-8,61.9%,1-0,100.0%,1,70.0%,50.0%,7.2%,3.6%,57.8%,62.5%,54.3%,59.0%,47.9%,53.8%,1.17
