Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2005,7,1,6,14.3%,2-12,14.3%,44-83,34.6%,1-1,50.0%,1,-,-,4.5%,7.6%,59.1%,66.7%,51.9%,60.6%,31.3%,46.2%,0.79,R16 (Hasselt)
2004,23,7,16,30.4%,20-36,35.7%,221-295,42.8%,3-1,75.0%,5,-,-,5.4%,5.7%,63.1%,62.9%,36.6%,53.2%,38.5%,45.4%,0.82,R16 (3x)
2003,33,14,19,42.4%,32-43,42.7%,330-367,47.3%,6-3,66.7%,4,-,-,5.6%,9.7%,57.7%,65.7%,35.2%,52.8%,38.4%,45.7%,0.81,QF (Leipzig)
2002,24,11,13,45.8%,24-33,42.1%,258-277,48.2%,2-4,33.3%,0,,,,,,,,,,,,SF (Waikoloa)
2001,8,2,6,25.0%,6-12,33.3%,74-87,46.0%,0-2,0.0%,0,,,,,,,,,,,,R16 (Antwerp)
2000,22,9,13,40.9%,24-27,47.1%,240-239,50.1%,2-4,33.3%,0,,,,,,,,,,,,R16 (2x)
1999,17,8,9,47.1%,17-18,48.6%,151-147,50.7%,2-2,50.0%,0,,,,,,,,,,,,SF (Belgian Open)
1998,10,2,8,20.0%,7-15,31.8%,85-109,43.8%,1-1,50.0%,0,,,,,,,,,,,,R16 (Quebec City)
1997,25,10,15,40.0%,21-33,38.9%,209-263,44.3%,3-2,60.0%,0,,,,,,,,,,,,SF (Hobart)
1996,26,13,13,50.0%,23-28,45.1%,216-243,47.1%,4-4,50.0%,0,,,,,,,,,,,,F (Canadian Indoor)
1995,19,8,11,42.1%,18-22,45.0%,172-182,48.6%,1-1,50.0%,0,,,,,,,,,,,,SF (Birmingham)
1994,7,4,3,57.1%,8-7,53.3%,71-62,53.4%,1-0,100.0%,0,,,,,,,,,,,,QF (Moscow)
1993,3,2,1,66.7%,4-3,57.1%,37-36,50.7%,0-0,-,0,,,,,,,,,,,,QF (Montpellier)
1992,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R64 (Birmingham)
1991,2,1,1,50.0%,1-2,33.3%,12-17,41.4%,1-1,50.0%,0,,,,,,,,,,,,R64 (Wimbledon)
Career,227,92,135,40.5%,207-293,41.4%,2124-2419,46.8%,27-26,50.9%,10,-,-,5.4%,7.4%,60.6%,64.3%,37.6%,53.8%,37.8%,45.6%,0.82,
