Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,54,16,38,29.6%,55-92,37.4%,691-774,47.2%,9-20,31.0%,43,77.2%,17.1%,6.8%,4.6%,62.7%,71.3%,46.1%,61.9%,34.9%,48.4%,0.91
Clay,31,13,18,41.9%,35-48,42.2%,389-427,47.7%,10-6,62.5%,27,72.6%,21.0%,4.9%,4.1%,62.0%,68.1%,47.9%,60.5%,37.6%,49.0%,0.95
Grass,5,0,5,0.0%,3-13,18.8%,57-92,38.3%,1-1,50.0%,5,69.7%,5.7%,7.2%,4.6%,61.1%,69.0%,47.6%,60.6%,25.6%,44.2%,0.65
Grand Slams,17,4,13,23.5%,23-42,35.4%,274-335,45.0%,2-4,33.3%,17,74.4%,15.9%,5.5%,4.5%,63.1%,69.0%,48.0%,61.3%,33.9%,47.7%,0.88
Masters,6,2,4,33.3%,5-8,38.5%,59-73,44.7%,3-0,100.0%,6,64.1%,23.1%,5.4%,5.1%,55.9%,68.5%,45.1%,58.2%,38.8%,48.1%,0.93
Other Tours,46,16,30,34.8%,42-69,37.8%,524-589,47.1%,10-15,40.0%,45,76.5%,18.1%,6.8%,4.5%,62.1%,70.8%,46.1%,61.4%,35.7%,48.5%,0.92
Best of 5,23,6,17,26.1%,31-55,36.0%,379-452,45.6%,5-8,38.5%,17,74.4%,15.9%,5.5%,4.5%,63.1%,69.0%,48.0%,61.3%,33.9%,47.7%,0.88
Best of 3,67,23,44,34.3%,62-98,38.8%,758-841,47.4%,15-19,44.1%,58,75.3%,18.4%,6.4%,4.4%,62.0%,70.4%,46.4%,61.3%,35.8%,48.6%,0.93
Quarter-finals,7,0,7,0.0%,1-14,6.7%,53-91,36.8%,1-0,100.0%,7,66.2%,6.9%,4.8%,5.6%,60.6%,67.1%,42.3%,57.4%,28.6%,43.4%,0.67
vs Righties,75,23,52,30.7%,75-129,36.8%,935-1066,46.7%,14-24,36.8%,60,75.1%,17.3%,6.1%,4.5%,62.2%,70.0%,46.6%,61.2%,35.3%,48.3%,0.91
vs Lefties,15,6,9,40.0%,18-24,42.9%,202-227,47.1%,6-3,66.7%,15,74.6%,19.0%,6.2%,4.1%,62.7%,69.9%,48.0%,61.7%,35.0%,48.5%,0.91
vs Top 10,4,0,4,0.0%,0-9,0.0%,28-54,34.1%,0-0,-,4,67.5%,2.4%,5.2%,6.3%,62.1%,65.9%,45.1%,58.0%,27.2%,43.0%,0.65
