Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2020 Pau CH R32,L vs Gulbis,53.8%,61.5%,60.0%,56.9%,67.4%,76.1%,66.7%,71.7%,33.3%,42.9%,-,21.1%,26.3%,53.3%,-79
2019 Washington R32,W vs Mannarino,33.8%,39.2%,55.3%,38.1%,50.0%,59.5%,66.7%,57.6%,52.6%,34.8%,0.0%,13.3%,13.3%,46.2%,16
2019 Davis Cup Qualifiers RR,L vs Auger Aliassime,30.4%,41.3%,54.8%,33.7%,42.9%,53.6%,43.8%,48.2%,46.2%,46.7%,0.0%,11.8%,23.5%,66.7%,4
2014 Valencia R32,L vs Lopez,29.0%,41.9%,48.7%,37.4%,38.5%,59.0%,50.0%,51.8%,30.0%,26.3%,40.0%,16.7%,16.7%,46.7%,25
Career (4 matches),,37.2%,46.2%,54.4%,42.1%,51.0%,63.2%,56.6%,58.6%,40.0%,37.6%,25.0%,15.5%,19.0%,52.1%,37
