Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,30,16,14,53.3%,5,3,2,60.0%,2013,2026,QF,30,0.98,6.1%,6.8%,55.8%,66.0%,45.0%,56.7%,42.6%,53.4%,39.5%
Roland Garros,13,Clay,27,14,13,51.9%,4,1,3,25.0%,2013,2025,R16,27,1.03,5.2%,8.8%,56.9%,67.5%,39.7%,55.5%,45.9%,55.9%,45.1%
Wimbledon,12,Grass,27,15,12,55.6%,9,3,6,33.3%,2013,2025,SF,25,1.04,6.2%,6.6%,57.2%,72.4%,46.5%,61.3%,40.4%,61.6%,41.0%
US Open,14,Hard,32,18,14,56.3%,10,3,7,30.0%,2012,2025,QF,27,1.05,6.0%,6.3%,55.0%,70.5%,47.1%,60.0%,41.9%,54.8%,44.2%
Olympics,2,,9,7,2,77.8%,5,3,2,60.0%,2021,2024,F,6,1.14,4.2%,4.9%,52.8%,63.3%,47.6%,55.9%,50.4%,58.7%,47.4%
Fed Cup,6,,16,10,6,62.5%,2,2,0,100.0%,2012,2019,,5,1.26,4.4%,9.2%,56.3%,71.1%,48.1%,61.0%,48.9%,57.6%,46.9%
Miami,11,Hard,27,16,11,59.3%,5,3,2,60.0%,2013,2026,R32,26,1.07,3.9%,7.2%,53.4%,66.9%,46.7%,57.5%,45.6%,56.1%,48.5%
Indian Wells,11,Hard,19,8,11,42.1%,7,4,3,57.1%,2014,2026,R16,19,1.00,4.1%,8.0%,52.9%,65.4%,43.3%,55.0%,44.9%,47.9%,50.6%
Merida,2,Hard,2,0,2,0.0%,0,0,0,-,2025,2026,R16,2,0.70,1.6%,7.3%,46.3%,56.1%,27.3%,40.7%,41.6%,59.3%,33.3%
Dubai,4,Hard,6,2,4,33.3%,2,0,2,0.0%,2019,2026,R16,6,1.00,7.0%,5.1%,53.2%,64.6%,50.7%,58.1%,42.0%,62.3%,51.2%
Auckland,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2018,2026,R32,2,0.97,4.9%,7.9%,60.1%,63.1%,42.0%,54.7%,43.8%,56.0%,50.0%
Wuhan,6,Hard,8,2,6,25.0%,0,0,0,-,2014,2025,R32,8,0.87,2.6%,9.1%,50.1%,61.0%,39.7%,50.4%,43.2%,39.7%,55.7%
