Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R16,L vs Zheng,99.4,104.9,4.1,108.9,102.5,111,95,90.2,4.6,94.6,89.0,96,78
2024 US Open R32,W vs Stearns,98.6,105.3,4.1,109.1,103.3,112,93,89.7,4.1,93.8,90.2,97,82
2024 US Open R64,W vs Minnen,97.7,104.0,4.3,107.1,100.2,110,94,87.9,5.3,86.7,90.0,94,74
2024 US Open R128,W vs Birrell,97.0,104.6,4.7,107.0,101.3,111,94,87.3,3.7,85.0,,94,79
2024 Wimbledon SF,L vs Paolini,102.3,110.0,2.7,110.9,109.1,115,101,89.5,5.7,92.8,,98,77
2024 Wimbledon QF,W vs Sun,101.1,108.0,3.4,109.3,105.0,113,101,91.8,4.3,93.1,89.0,101,84
2024 Wimbledon R16,W vs Badosa,100.4,105.9,4.1,108.5,101.6,113,97,90.2,5.3,95.8,88.0,102,77
2024 Wimbledon R32,W vs Yastremska,100.9,106.4,4.8,108.6,103.6,114,92,91.3,5.2,96.3,82.0,103,81
2023 US Open R128,L vs Vickery,95.2,103.8,4.9,107.2,101.1,111,93,86.3,5.2,88.7,87.7,96,76
2023 Wimbledon R64,W vs Stephens,102.3,108.0,3.7,110.4,106.0,116,101,92.9,3.4,96.0,92.5,102,84
2022 US Open R128,L vs Kudermetova,100.8,106.7,6.0,107.6,104.1,113,79,91.9,6.0,91.2,93.0,100,71
2021 US Open R128,L vs Muguruza,101.1,108.0,3.9,109.9,104.4,114,95,90.9,4.7,93.8,91.5,99,79
2019 US Open QF,L vs Bencic,96.8,107.1,2.8,107.5,105.0,113,103,83.7,4.4,81.8,84.8,94,77
2019 US Open R16,W vs Goerges,95.4,105.4,4.5,106.2,102.4,111,80,81.4,6.5,85.6,75.0,95,69
2019 US Open R32,W vs Putintseva,95.0,106.7,4.0,110.3,105.6,114,95,76.3,4.3,,79.0,83,64
2019 US Open R64,W vs Kanepi,93.7,103.3,4.2,105.5,102.7,110,90,83.2,3.9,82.5,83.3,91,74
2019 Wimbledon R128,L vs Riske Amritraj,96.8,106.0,3.7,108.5,104.8,113,94,83.5,4.6,80.5,84.3,94,74
2019 Roland Garros R16,L vs Konta,93.4,102.8,4.3,,,108,89,84.4,4.2,,,92,75
2019 Roland Garros R32,W vs Bencic,97.0,103.4,8.1,,,111,67,82.1,3.3,,,89,77
2019 Roland Garros R64,W vs Peterson,94.8,100.6,4.6,,,108,91,81.9,4.3,,,90,74
Career (35 matches),,98.1,105.5,4.1,108.0,103.8,116,67,87.1,4.5,89.9,87.7,103,64
