Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Australian Open R128,L vs Andreeva,22,40,0.6,14.7%,26.7%,20,36,0.6,14.3%,25.7%,9.3%,3.6%,1.8,18.7%,10.7%
2025 Chennai QF,L vs Birrell,10,29,0.3,11.2%,32.6%,5,22,0.2,6.8%,30.1%,5.5%,0.0%,1.1,15.7%,14.6%
2025 Chennai R32,W vs Adkar,26,17,1.5,21.8%,14.3%,17,11,1.5,16.8%,10.9%,11.9%,4.0%,0.9,14.3%,16.0%
2025 Wuhan R64,L vs Bencic,12,22,0.5,12.2%,22.4%,10,14,0.7,12.2%,17.1%,6.1%,4.9%,1.1,14.3%,13.3%
2025 Bad Homburg R32,W vs Shnaider,23,15,1.5,20.9%,13.6%,18,14,1.3,17.6%,13.7%,17.6%,0.0%,1.1,14.5%,12.7%
2025 Rome R64,L vs Andreescu,30,42,0.7,18.4%,25.8%,28,31,0.9,19.9%,22.0%,14.9%,5.0%,1.0,13.5%,14.1%
2025 Doha R64,L vs Noskova,8,15,0.5,7.3%,13.8%,8,11,0.7,8.1%,11.1%,5.1%,3.0%,1.8,20.2%,11.0%
2025 Australian Open R32,W vs Shnaider,40,42,1.0,16.7%,17.6%,30,37,0.8,14.1%,17.4%,9.9%,3.8%,0.9,17.6%,18.8%
2024 US Open R16,L vs Zheng,34,36,0.9,16.4%,17.4%,25,28,0.9,14.4%,16.1%,8.0%,5.2%,1.6,15.9%,10.1%
2024 US Open R32,W vs Stearns,21,16,1.3,17.4%,13.2%,13,15,0.9,12.4%,14.3%,8.6%,1.0%,0.6,14.9%,23.1%
2024 US Open R64,W vs Minnen,26,21,1.2,23.2%,18.8%,19,18,1.1,20.2%,19.1%,9.6%,8.5%,0.6,11.6%,20.5%
2024 US Open R128,W vs Birrell,27,23,1.2,21.6%,18.4%,26,19,1.4,22.6%,16.5%,11.3%,7.8%,1.1,12.8%,12.0%
2024 Paris Olympics F,L vs Zheng,13,31,0.4,10.8%,25.8%,12,29,0.4,10.9%,26.4%,9.1%,1.8%,1.0,18.3%,19.2%
2024 Paris Olympics SF,W vs Schmiedlova,25,12,2.1,27.8%,13.3%,19,9,2.1,25.0%,11.8%,15.8%,7.9%,0.9,13.3%,15.6%
2024 Paris Olympics QF,W vs Kostyuk,42,46,0.9,19.0%,20.8%,40,39,1.0,19.3%,18.8%,14.5%,3.4%,0.9,15.4%,16.7%
2024 Paris Olympics R16,W vs Gauff,35,32,1.1,24.1%,22.1%,30,29,1.0,23.1%,22.3%,15.4%,7.7%,0.5,6.9%,15.2%
2024 Paris Olympics R32,W vs Andreescu,21,28,0.8,14.8%,19.7%,19,24,0.8,14.6%,18.5%,6.2%,8.5%,0.8,16.2%,19.7%
2024 Wimbledon SF,L vs Paolini,42,57,0.7,18.3%,24.9%,35,50,0.7,16.9%,24.2%,10.1%,5.3%,0.8,11.4%,14.0%
2024 Wimbledon QF,W vs Sun,32,26,1.2,17.7%,14.4%,21,20,1.1,13.9%,13.2%,9.3%,4.0%,1.1,14.9%,13.8%
2024 Wimbledon R16,W vs Badosa,33,31,1.1,22.9%,21.5%,29,26,1.1,23.2%,20.8%,16.0%,6.4%,0.9,13.2%,15.3%
Career (127 matches),,3094,3590,0.9,16.3%,18.9%,2590,2988,0.9,15.5%,17.9%,8.4%,4.5%,1.0,16.2%,16.9%
