Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,20,8,12,40.0%,3,1,2,33.3%,2003,2014,R32,16,0.96,1.5%,2.9%,69.1%,55.3%,47.1%,52.7%,45.2%,55.6%,40.7%
Roland Garros,12,Clay,22,9,13,40.9%,3,3,0,100.0%,2003,2014,R64,12,0.84,2.1%,2.9%,69.2%,58.9%,34.6%,51.4%,41.0%,55.1%,38.6%
Wimbledon,11,Grass,19,8,11,42.1%,2,1,1,50.0%,2003,2013,R64,7,0.83,1.9%,2.7%,65.4%,58.8%,42.1%,53.0%,39.1%,41.7%,27.7%
US Open,13,Hard,23,10,13,43.5%,2,1,1,50.0%,2002,2014,R64,11,0.92,2.0%,3.7%,64.9%,56.2%,40.9%,50.8%,45.2%,44.9%,50.0%
Olympics,2,,3,1,2,33.3%,1,0,1,0.0%,2008,2012,R32,1,0.69,8.2%,9.4%,74.1%,66.7%,36.4%,58.8%,28.6%,77.8%,20.0%
Fed Cup,15,,58,35,23,60.3%,10,2,8,20.0%,2000,2014,,0,,,,,,,,,,
Quebec City,10,Hard,25,15,10,60.0%,5,1,4,20.0%,2003,2013,F,5,1.00,3.6%,2.4%,64.7%,63.4%,39.0%,54.8%,45.4%,59.6%,41.7%
Memphis,9,Hard,28,21,7,75.0%,5,4,1,80.0%,2004,2013,W,25,1.06,6.2%,2.6%,67.3%,63.1%,44.8%,57.1%,45.5%,52.4%,47.4%
Miami,9,Hard,18,9,9,50.0%,5,4,1,80.0%,2004,2013,R16,15,0.97,1.2%,3.0%,68.5%,56.7%,43.6%,52.6%,46.2%,54.7%,49.6%
Bastad,7,Clay,12,5,7,41.7%,3,3,0,100.0%,2009,2015,SF,12,0.86,1.1%,3.2%,62.8%,59.4%,41.6%,52.8%,40.5%,59.1%,40.3%
Linz,6,Hard,16,10,6,62.5%,3,2,1,66.7%,2005,2014,QF,9,1.01,3.7%,3.5%,63.9%,61.1%,45.7%,55.6%,44.9%,57.8%,46.3%
Indian Wells,6,Hard,11,5,6,45.5%,3,2,1,66.7%,2007,2013,R32,11,0.99,2.0%,1.9%,67.1%,57.8%,43.3%,53.0%,46.3%,56.1%,40.3%
