Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,320,128,,,,,,,,,1103,11,,
2014,263,164,,,,,,,,,,,,
2013,120,531,61,1751,54,1725,73,1655,90,1554,223,297,,
2012,41,1380,41,1827,41,1776,43,1741,76,1593,158,474,,
2011,78,865,80,1738,77,1686,72,1676,120,1520,75,1123,,
2010,53,1137,52,1807,44,1782,81,1663,97,1563,165,439,,
2009,139,435,75,1743,62,1730,98,1614,103,1545,,,,
2008,56,553,62,1759,64,1704,77,1647,69,1608,,,,
2007,98,345,102,1653,94,1630,111,1575,84,1564,,,,
2006,62,395,126,1632,108,1613,124,1556,88,1561,,,,
2005,67,528,58,1772,60,1716,77,1656,50,1671,,,,
2004,213,149,159,1553,157,1517,183,1455,119,1513,,,,
2003,104,350,91,1710,70,1693,143,1515,113,1525,,,,
2002,144,226,,,,,,,,,,,,
2001,437,30,,,,,,,,,,,,
