Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,25,13,12,52.0%,31-28,52.5%,285-265,51.8%,1-4,20.0%,0,,,,,,,,,,,,W (2x)
2014,23,13,10,56.5%,28-24,53.8%,236-227,51.0%,2-0,100.0%,0,,,,,,,,,,,,SF (3x)
2013,6,4,2,66.7%,10-7,58.8%,84-75,52.8%,0-0,-,0,,,,,,,,,,,,F (Poitiers 100K)
2011,7,4,3,57.1%,8-5,61.5%,64-57,52.9%,1-1,50.0%,0,,,,,,,,,,,,F (Limoges 50K)
2010,18,16,2,88.9%,34-6,85.0%,227-137,62.4%,3-0,100.0%,0,,,,,,,,,,,,W (2x)
2009,37,25,12,67.6%,57-28,67.1%,438-344,56.0%,6-4,60.0%,0,,,,,,,,,,,,W (2x)
2008,12,9,3,75.0%,18-11,62.1%,139-136,50.5%,5-0,100.0%,0,,,,,,,,,,,,W (Zagreb 75K)
2007,37,27,10,73.0%,55-25,68.8%,420-310,57.5%,3-3,50.0%,0,,,,,,,,,,,,W (4x)
2006,1,0,1,0.0%,1-2,33.3%,14-15,48.3%,0-0,-,0,,,,,,,,,,,,R32 (Pittsburgh PA 75K)
2005,23,16,7,69.6%,35-19,64.8%,289-190,60.3%,3-5,37.5%,0,,,,,,,,,,,,W (Sunderland 1 25K)
2004,22,10,12,45.5%,24-27,47.1%,234-228,50.6%,1-2,33.3%,0,,,,,,,,,,,,F (Pittsburgh PA 50K)
2003,53,38,15,71.7%,77-41,65.3%,604-490,55.2%,8-5,61.5%,0,,,,,,,,,,,,W (3x)
2002,52,38,14,73.1%,81-34,70.4%,617-414,59.8%,5-3,62.5%,0,,,,,,,,,,,,W (3x)
2001,18,16,2,88.9%,32-7,82.1%,216-113,65.7%,1-0,100.0%,0,,,,,,,,,,,,W (2x)
2000,10,6,4,60.0%,5-7,41.7%,57-55,50.9%,1-1,50.0%,0,,,,,,,,,,,,F (Stockholm 10K)
1999,4,3,1,75.0%,6-2,75.0%,40-24,62.5%,0-0,-,0,,,,,,,,,,,,SF (Bastad 10K)
Career,348,238,110,68.4%,502-273,64.8%,3964-3080,56.3%,40-28,58.8%,0,,,,,,,,,,,,
