Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 US Open R128,L vs Jovic,40% (4/10),50% (2/4),1/3,45% (5/11),20% (1/5),0/2,0/0,2/3,0/0,0/1
2024 US Open R128,L vs Boulter,43% (6/14),50% (3/6),2/5,54% (7/13),14% (1/7),3/3,1/2,0/1,0/0,0/0
2024 Budapest F,L vs Shnaider,50% (5/10),100% (5/5),2/5,70% (7/10),0% (0/7),1/5,0/0,1/3,0/0,0/1
2023 US Open R128,L vs Linette,13% (1/8),100% (1/1),1/4,75% (6/8),17% (1/6),1/1,0/0,1/2,0/0,0/1
2023 Wimbledon R64,L vs Kvitova,38% (3/8),67% (2/3),0/4,75% (6/8),0% (0/6),0/2,0/0,0/2,0/0,0/1
2023 Wimbledon R128,W vs Parrizas Diaz,86% (6/7),100% (6/6),2/2,63% (5/8),60% (3/5),3/5,1/2,0/0,1/1,0/0
2023 Berlin R16,L vs Sakkari,38% (3/8),0% (0/3),0/3,57% (4/7),0% (0/4),0/0,0/0,0/1,0/0,0/0
2023 Roland Garros R128,L vs Tauson,43% (3/7),33% (1/3),0/4,100% (7/7),14% (1/7),1/1,0/0,0/2,0/0,0/1
2023 Dubai R32,L vs Gauff,38% (3/8),67% (2/3),1/4,75% (6/8),0% (0/6),1/2,0/0,0/2,0/0,0/1
2023 Australian Open R64,L vs Pegula,50% (5/10),60% (3/5),1/5,60% (6/10),17% (1/6),1/3,0/0,1/1,0/0,1/1
2023 Australian Open R128,W vs Fruhvirtova,50% (5/10),100% (5/5),0/2,30% (3/10),33% (1/3),2/3,0/1,0/0,0/0,0/0
2022 US Open R64,L vs Pegula,30% (3/10),100% (3/3),1/5,60% (6/10),17% (1/6),1/3,0/0,0/0,0/0,0/0
2022 US Open R128,W vs Cocciaretto,56% (5/9),100% (5/5),2/2,33% (3/9),33% (1/3),4/5,2/2,0/0,1/1,0/0
2022 Cleveland F,L vs Samsonova,25% (2/8),50% (1/2),1/4,75% (6/8),17% (1/6),0/1,0/0,1/2,0/0,1/1
2022 Roland Garros R16,L vs Trevisan,42% (5/12),100% (5/5),3/5,67% (8/12),25% (2/8),2/5,0/2,1/1,0/0,0/0
2022 Strasbourg R32,W vs Gervais,67% (6/9),100% (6/6),3/3,56% (5/9),40% (2/5),2/4,0/0,0/0,0/0,0/0
2022 St. Petersburg QF,L vs Ostapenko,73% (11/15),45% (5/11),2/5,50% (8/16),25% (2/8),2/4,0/0,2/3,0/0,0/1
2022 Melbourne 2 F,L vs Anisimova,40% (6/15),83% (5/6),0/3,50% (7/14),43% (3/7),4/4,0/0,1/2,0/0,0/0
2021 Linz R16,L vs Halep,27% (3/11),67% (2/3),1/3,40% (4/10),0% (0/4),2/2,0/0,2/3,0/0,1/1
2021 Indian Wells R16,L vs Azarenka,44% (4/9),75% (3/4),2/4,60% (6/10),0% (0/6),1/3,0/0,1/3,0/0,1/2
2025 (1 matches),,40.0%,50.0%,33.3%,45.5%,20.0%,0.0%,-,66.7%,-,0.0%
2024 (2 matches),,45.8%,72.7%,40.0%,60.9%,7.1%,50.0%,50.0%,25.0%,-,0.0%
2023 (8 matches),,43.9%,69.0%,17.9%,65.2%,16.3%,52.9%,33.3%,20.0%,100.0%,20.0%
2022 (7 matches),,48.7%,78.9%,44.4%,55.1%,27.9%,57.7%,50.0%,62.5%,100.0%,50.0%
2021 (12 matches),,41.3%,80.8%,41.5%,52.4%,21.5%,56.1%,69.2%,37.5%,80.0%,40.0%
Career (212 matches),,47.7%,76.6%,33.7%,48.8%,20.7%,63.0%,67.9%,55.2%,77.3%,57.3%
