Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 US Open R128,L vs Jovic,73.7%,46.4%,2.6%,1/1,2.28,4.3%,73.5%,47.2%,4.1%,2.48,9.1%,83.3%,45.0%,0.0%,2.09,0.0%
2024 Budapest F,L vs Shnaider,77.0%,61.7%,1.6%,1/0,2.48,3.5%,77.8%,60.7%,0.0%,2.48,4.7%,82.6%,63.2%,4.3%,2.49,0.0%
2023 Berlin R16,L vs Sakkari,53.3%,59.4%,8.3%,3/2,2.39,6.9%,45.9%,47.1%,5.4%,2.38,11.8%,68.2%,73.3%,13.6%,2.40,0.0%
2023 Roland Garros R128,L vs Tauson,68.1%,46.9%,2.1%,0/1,2.53,2.4%,67.7%,52.4%,3.2%,2.57,3.8%,78.6%,36.4%,0.0%,2.47,0.0%
2023 Dubai R32,L vs Gauff,71.2%,56.8%,7.7%,2/2,2.35,7.5%,66.7%,59.1%,12.1%,2.38,8.6%,83.3%,53.3%,0.0%,2.14,0.0%
2023 Australian Open R64,L vs Pegula,68.1%,53.1%,4.2%,0/3,2.30,4.4%,70.2%,48.5%,2.1%,2.36,7.4%,76.2%,62.5%,9.5%,2.21,0.0%
2023 Australian Open R128,W vs Fruhvirtova,64.3%,75.0%,1.8%,0/1,2.61,7.5%,66.7%,73.1%,0.0%,2.36,13.6%,66.7%,80.0%,6.7%,2.93,0.0%
2022 Cleveland F,L vs Samsonova,71.7%,42.4%,19.6%,4/5,2.40,0.0%,65.4%,29.4%,26.9%,2.35,0.0%,84.2%,56.3%,10.5%,2.68,0.0%
2022 Roland Garros R16,L vs Trevisan,81.7%,51.7%,4.2%,2/1,2.65,0.0%,83.3%,42.5%,2.1%,2.67,0.0%,85.7%,72.2%,9.5%,2.58,0.0%
2022 Strasbourg R32,W vs Gervais,59.4%,58.5%,7.2%,3/2,2.50,7.0%,72.1%,61.3%,9.3%,2.80,11.5%,76.9%,50.0%,7.7%,2.05,0.0%
2022 St Petersburg QF,L vs Ostapenko,66.7%,58.1%,10.1%,9/4,2.56,11.1%,71.8%,57.1%,6.4%,2.46,18.4%,71.4%,60.0%,19.0%,2.71,0.0%
2022 Melbourne F,L vs Anisimova,70.5%,54.8%,18.2%,9/7,2.78,5.9%,72.9%,53.5%,11.9%,2.71,9.8%,73.1%,57.9%,34.6%,2.87,0.0%
2021 Linz R16,L vs Halep,58.6%,53.7%,4.3%,0/3,2.43,2.1%,58.1%,52.0%,4.7%,2.37,2.9%,72.7%,56.3%,4.5%,2.58,0.0%
2021 Indian Wells R16,L vs Azarenka,66.1%,51.2%,12.9%,2/6,2.39,1.9%,65.5%,47.4%,6.9%,2.50,2.9%,81.5%,54.5%,22.2%,2.17,0.0%
2021 Indian Wells R32,W vs Halep,77.9%,56.7%,0.0%,0/0,2.50,1.9%,80.4%,57.8%,0.0%,2.55,2.2%,75.0%,53.3%,0.0%,2.23,0.0%
2021 Indian Wells R64,W vs Raducanu,77.8%,57.1%,13.0%,4/3,2.23,6.8%,84.8%,42.9%,6.1%,2.08,10.0%,82.4%,85.7%,29.4%,2.54,0.0%
2021 Gdynia R32,W vs Baszak,67.1%,59.2%,5.5%,3/1,2.21,3.8%,67.3%,68.6%,5.8%,2.21,5.1%,93.3%,35.7%,6.7%,2.19,0.0%
2021 Roland Garros R64,L vs Sabalenka,75.6%,61.0%,5.1%,1/3,2.57,4.1%,75.0%,50.0%,4.2%,2.36,2.9%,92.0%,78.3%,8.0%,3.09,7.1%
2021 Belgrade QF,L vs Osorio,74.6%,59.1%,11.9%,4/3,2.29,0.0%,80.0%,53.1%,12.5%,2.31,0.0%,70.6%,75.0%,11.8%,2.17,0.0%
2021 Belgrade R16,W vs Bucsa,80.7%,60.6%,3.4%,2/1,2.50,4.0%,82.8%,60.4%,1.6%,2.58,5.6%,94.7%,61.1%,10.5%,2.32,0.0%
Last 52 Weeks (1 matches),,73.7%,46.4%,2.6%,50.0%,2.28,4.3%,73.5%,47.2%,4.1%,2.48,9.1%,83.3%,45.0%,0.0%,2.09,0.0%
Career (48 matches),,68.6%,54.3%,6.7%,51.7%,2.46,5.0%,68.6%,51.5%,5.3%,2.44,7.1%,79.1%,59.0%,10.4%,2.50,0.9%
