Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2010,722,20,,,,,,,,,1029,18,,
2009,116,487,35,1857,31,1815,47,1766,43,1688,147,465,53,1673
2008,38,885,31,1872,28,1824,51,1756,38,1718,237,250,,
2007,49,660,26,1888,19,1848,,,43,1690,238,245,,
2006,48,765,20,1910,16,1857,27,1824,,,1430,5,,
2005,22,1250,25,1899,21,1845,39,1779,26,1738,127,415,66,1624
2004,21,1240,13,1938,8,1903,36,1787,7,1817,109,510,33,1729
2003,58,616,53,1801,46,1754,71,1697,22,1756,105,516,47,1631
2002,72,550,52,1821,48,1772,72,1712,23,1763,60,935,35,1691
2001,42,920,38,1867,31,1821,56,1757,25,1742,204,275,,
2000,20,1265,13,1952,11,1910,52,1768,21,1768,187,290,,
1999,6,2447,5,2031,5,2000,20,1869,7,1881,260,205,,
1998,35,1007,34,1880,24,1865,43,1823,31,1742,133,514,,
1997,32,1209,27,1926,31,1836,51,1787,17,1808,213,286,,
1996,128,359,127,1694,120,1648,117,1661,87,1613,,,,
1995,206,,134,1699,90,1698,139,1628,,,438,84,,
1994,1198,2,,,,,,,,,,,,
