Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,69,26,43,37.7%,64-93,40.8%,684-791,46.4%,4-12,25.0%,69,58.2%,35.1%,3.7%,7.0%,56.5%,62.8%,41.3%,53.4%,43.7%,48.5%,0.94
Clay,41,20,21,48.8%,46-51,47.4%,440-448,49.5%,7-3,70.0%,41,61.0%,37.8%,3.9%,6.8%,56.6%,63.5%,43.3%,54.8%,45.6%,50.0%,1.01
Grass,17,7,10,41.2%,20-22,47.6%,198-212,48.3%,4-2,66.7%,17,62.0%,34.3%,3.4%,8.5%,56.2%,64.8%,42.5%,55.0%,42.9%,49.1%,0.95
Grand Slams,23,8,15,34.8%,22-31,41.5%,244-276,46.9%,2-3,40.0%,23,61.7%,32.7%,3.2%,7.6%,54.3%,64.0%,42.5%,54.2%,42.5%,48.4%,0.93
Premiers,19,6,13,31.6%,15-29,34.1%,173-227,43.3%,0-1,0.0%,19,51.5%,35.2%,3.6%,7.9%,54.0%,60.0%,40.1%,50.9%,43.5%,47.4%,0.89
Internationals,64,31,33,48.4%,75-79,48.7%,701-720,49.3%,10-8,55.6%,64,61.0%,37.6%,3.7%,6.6%,58.3%,64.0%,42.8%,55.2%,45.2%,50.1%,1.01
Finals,4,1,3,25.0%,2-6,25.0%,35-47,42.7%,1-1,50.0%,4,56.4%,29.3%,3.0%,6.3%,56.1%,59.2%,42.0%,51.7%,42.9%,47.1%,0.89
Semi-finals,5,4,1,80.0%,8-5,61.5%,61-55,52.6%,1-1,50.0%,5,61.4%,43.9%,3.9%,5.7%,60.1%,59.2%,49.7%,55.4%,48.4%,51.7%,1.08
Quarter-finals,7,5,2,71.4%,11-6,64.7%,83-71,53.9%,0-1,0.0%,7,73.7%,35.1%,5.3%,4.4%,55.0%,70.2%,51.2%,61.6%,44.7%,52.5%,1.17
vs Righties,117,50,67,42.7%,122-151,44.7%,1221-1324,48.0%,12-15,44.4%,117,60.2%,35.9%,3.7%,7.2%,56.6%,63.6%,42.0%,54.2%,44.1%,49.1%,0.96
vs Lefties,8,2,6,25.0%,6-13,31.6%,80-105,43.2%,2-1,66.7%,8,53.3%,32.6%,3.5%,6.9%,55.3%,59.3%,43.7%,52.3%,44.3%,48.2%,0.93
vs Top 10,10,2,8,20.0%,6-16,27.3%,86-124,41.0%,1-0,100.0%,10,56.2%,25.7%,4.0%,6.6%,55.1%,61.3%,41.6%,52.4%,39.6%,46.3%,0.83
