Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami QF,L vs Sinner,53.5%,34.8%,4.7%,2/0,2.24,2.6%,46.7%,35.7%,3.3%,2.07,3.7%,75.0%,33.3%,8.3%,2.64,0.0%
2026 Miami R32,W vs Mensik,57.0%,34.4%,3.7%,3/1,2.22,19.8%,53.8%,31.0%,1.3%,2.00,34.7%,76.0%,42.1%,12.0%,2.50,0.0%
2026 Acapulco F,L vs Cobolli,65.3%,40.4%,1.4%,1/0,2.26,16.2%,64.2%,32.4%,0.0%,2.26,30.6%,76.5%,61.5%,5.9%,2.27,0.0%
2026 Australian Open R32,L vs De Minaur,68.0%,37.9%,2.1%,2/0,2.19,14.1%,65.0%,33.3%,1.7%,2.12,26.2%,87.1%,44.4%,3.2%,2.28,0.0%
2026 Brisbane R16,L vs Medvedev,39.6%,36.8%,0.0%,0/0,2.02,12.9%,38.2%,23.1%,0.0%,1.96,25.0%,60.0%,66.7%,0.0%,2.08,0.0%
2025 Roland Garros QF,L vs Musetti,70.1%,36.0%,1.9%,1/1,2.28,9.3%,69.3%,26.9%,0.0%,2.23,14.6%,79.3%,56.5%,6.9%,2.34,2.6%
2025 Roland Garros R16,W vs Altmaier,68.7%,60.3%,1.0%,0/1,2.56,21.1%,62.5%,45.7%,0.0%,2.49,33.3%,82.5%,75.8%,2.5%,2.68,0.0%
2025 Roland Garros R32,W vs Korda,55.1%,55.9%,2.8%,2/1,2.39,0.0%,52.6%,50.0%,3.5%,2.28,0.0%,64.4%,62.1%,2.2%,2.50,0.0%
2025 Houston F,L vs Brooksby,67.2%,48.7%,5.2%,2/1,2.09,0.0%,65.9%,55.6%,2.4%,2.13,0.0%,75.0%,33.3%,12.5%,2.06,0.0%
2025 Indian Wells R32,L vs Watanuki,53.5%,50.0%,9.9%,2/5,2.56,18.5%,40.5%,60.0%,8.1%,2.25,28.1%,71.9%,43.5%,12.5%,2.86,9.1%
2025 Brisbane R16,L vs Mpetshi Perricard,48.0%,55.6%,4.0%,2/1,2.38,64.2%,44.0%,45.5%,0.0%,2.31,92.6%,66.7%,71.4%,14.3%,2.44,34.6%
2024 Tokyo R32,L vs Nakashima,55.7%,47.1%,4.9%,2/1,2.22,21.1%,52.0%,53.8%,2.0%,2.34,31.8%,80.0%,25.0%,20.0%,2.06,6.3%
2024 US Open SF,L vs Fritz,60.3%,44.3%,6.9%,2/7,2.30,0.0%,54.5%,47.6%,1.3%,2.33,0.0%,72.5%,40.5%,15.7%,2.27,0.0%
2024 US Open QF,W vs Dimitrov,66.9%,50.6%,1.5%,1/1,2.18,39.7%,62.0%,40.9%,0.0%,2.26,40.7%,89.6%,60.5%,4.2%,2.12,39.0%
2024 US Open R32,W vs Shelton,66.3%,51.8%,5.8%,3/7,2.31,20.2%,59.6%,48.5%,5.3%,2.32,36.8%,85.2%,56.5%,7.4%,2.30,1.9%
2024 Cincinnati F,L vs Sinner,46.6%,33.3%,10.3%,3/3,-,10.2%,33.3%,45.5%,6.1%,-,22.2%,69.6%,25.0%,17.4%,-,0.0%
2024 Cincinnati SF,W vs Rune,60.7%,48.1%,3.4%,3/0,2.53,18.9%,56.8%,40.0%,2.3%,2.50,38.1%,78.4%,55.2%,5.4%,2.55,6.3%
2024 Cincinnati QF,W vs Hurkacz,73.1%,52.6%,3.8%,0/1,2.38,6.3%,58.3%,71.4%,0.0%,2.31,12.5%,92.3%,41.7%,7.7%,2.44,0.0%
2024 Cincinnati R32,W vs Musetti,76.7%,54.3%,0.0%,0/0,-,54.2%,78.1%,52.0%,0.0%,-,76.5%,87.5%,57.1%,0.0%,-,0.0%
2024 Wimbledon R32,L vs Alcaraz,58.9%,50.0%,3.1%,1/4,2.35,12.6%,54.7%,53.4%,2.8%,2.17,19.6%,73.1%,44.7%,3.8%,2.57,4.5%
Career (87 matches),,62.7%,47.1%,4.4%,41.7%,2.30,15.4%,56.4%,43.8%,2.9%,2.26,22.9%,81.0%,51.2%,7.5%,2.36,6.4%
