Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Miami QF,L vs Sinner,26.4%,30.2%,31.6%,29.4%,28.9%,34.2%,33.3%,33.2%,64.7%,47.6%,100.0%,21.4%,21.4%,27.3%,22
2026 Miami R32,W vs Mensik,28.2%,41.1%,61.6%,34.5%,34.7%,50.7%,67.3%,45.1%,60.0%,40.0%,25.0%,19.6%,28.3%,54.1%,14
2026 Acapulco F,L vs Cobolli,17.9%,29.8%,52.9%,26.9%,25.0%,41.7%,63.9%,40.8%,55.0%,32.1%,50.0%,8.6%,14.3%,40.6%,-37
2026 Australian Open R32,L vs De Minaur,21.8%,29.7%,44.9%,28.7%,30.0%,43.3%,42.9%,41.7%,42.9%,31.3%,60.0%,10.0%,10.0%,47.2%,-42
2026 Brisbane R16,L vs Medvedev,26.2%,33.3%,48.4%,32.9%,36.0%,44.0%,68.8%,47.2%,66.7%,0.0%,0.0%,11.8%,17.6%,26.7%,-79
2025 Roland Garros QF,L vs Musetti,21.9%,34.2%,48.3%,29.3%,26.1%,43.5%,52.9%,38.3%,71.4%,44.1%,60.0%,15.6%,20.0%,42.1%,-79
2025 Roland Garros R16,W vs Altmaier,25.0%,34.4%,56.9%,32.3%,29.2%,41.5%,60.9%,40.0%,59.3%,26.3%,100.0%,16.1%,19.4%,50.0%,-79
2025 Roland Garros R32,W vs Korda,34.0%,47.0%,67.2%,41.5%,43.4%,60.4%,60.0%,57.5%,56.0%,25.0%,0.0%,26.2%,35.7%,74.2%,82
2025 Houston F,L vs Brooksby,9.1%,20.0%,43.8%,16.9%,14.3%,32.1%,54.2%,29.6%,40.0%,15.4%,0.0%,4.0%,8.0%,33.3%,-77
2025 Indian Wells R32,L vs Watanuki,21.8%,29.9%,45.5%,25.3%,34.0%,46.0%,45.5%,40.0%,72.2%,43.8%,66.7%,5.7%,8.6%,45.5%,-59
2025 Brisbane R16,L vs Mpetshi Perricard,23.6%,36.1%,56.6%,30.8%,28.9%,50.0%,74.1%,42.6%,43.8%,45.5%,100.0%,18.8%,21.9%,38.5%,10
2024 Tokyo R32,L vs Nakashima,31.6%,40.4%,50.0%,37.2%,43.6%,53.8%,40.9%,51.8%,81.3%,56.5%,50.0%,5.9%,11.8%,62.5%,-57
2024 US Open SF,L vs Fritz,25.2%,34.4%,57.3%,31.3%,39.4%,53.5%,67.4%,50.7%,58.1%,27.5%,33.3%,9.8%,13.7%,47.8%,-26
2024 US Open QF,W vs Dimitrov,31.8%,39.3%,60.3%,34.3%,49.1%,54.7%,48.1%,54.2%,63.6%,22.6%,50.0%,16.3%,26.5%,68.3%,45
2024 US Open R32,W vs Shelton,26.4%,37.7%,60.7%,33.8%,35.9%,52.2%,62.7%,48.6%,54.1%,25.5%,0.0%,14.5%,19.4%,58.5%,30
2024 Cincinnati F,L vs Sinner,27.4%,33.3%,45.8%,31.3%,41.3%,47.8%,48.1%,48.5%,66.7%,48.0%,50.0%,11.1%,16.7%,43.8%,-2
2024 Cincinnati SF,W vs Rune,41.3%,50.0%,49.1%,44.6%,54.3%,67.4%,52.4%,60.9%,45.5%,37.5%,100.0%,28.9%,33.3%,46.9%,-46
2024 Cincinnati QF,W vs Hurkacz,36.0%,48.0%,56.3%,44.4%,46.7%,66.7%,62.5%,60.7%,55.6%,50.0%,-,20.0%,20.0%,50.0%,-79
2024 Cincinnati R32,W vs Musetti,39.0%,43.9%,66.7%,46.1%,45.2%,48.4%,70.6%,54.5%,64.3%,35.3%,-,22.2%,33.3%,57.1%,72
2024 Wimbledon R32,L vs Alcaraz,32.5%,47.0%,53.1%,41.3%,42.2%,61.1%,59.6%,57.0%,54.2%,38.1%,0.0%,20.0%,29.1%,45.5%,70
Career (87 matches),,28.6%,39.4%,50.7%,35.1%,37.2%,51.1%,54.7%,48.0%,57.3%,36.4%,41.7%,16.9%,23.7%,46.0%,31
