Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,8,3,5,37.5%,8-11,42.1%,76-93,45.0%,1-0,100.0%,8,61.0%,29.1%,1.8%,5.5%,60.0%,62.7%,43.1%,54.9%,41.7%,47.9%,0.92
Clay,4,3,1,75.0%,7-4,63.6%,61-50,55.0%,1-1,50.0%,4,71.7%,39.3%,1.2%,4.2%,61.2%,62.9%,53.8%,59.4%,46.6%,52.7%,1.15
Grass,1,0,1,0.0%,1-2,33.3%,15-14,51.7%,0-1,0.0%,1,64.3%,42.9%,7.0%,5.8%,65.1%,69.6%,40.0%,59.3%,42.4%,50.9%,1.04
Grand Slams,2,0,2,0.0%,1-4,20.0%,22-26,45.8%,0-1,0.0%,2,69.6%,25.0%,5.6%,4.9%,64.1%,71.4%,39.2%,59.9%,35.5%,47.7%,0.88
Internationals,11,6,5,54.5%,15-13,53.6%,130-131,49.8%,2-1,66.7%,11,64.3%,35.6%,1.5%,5.1%,60.3%,62.0%,47.7%,56.3%,44.6%,50.2%,1.02
Semi-finals,1,0,1,0.0%,1-2,33.3%,14-17,45.2%,0-0,-,1,66.7%,25.0%,0.0%,7.5%,62.5%,74.0%,43.3%,62.5%,39.6%,50.0%,1.06
Quarter-finals,1,1,0,100.0%,2-1,66.7%,18-15,54.5%,0-1,0.0%,1,81.3%,31.3%,1.9%,3.8%,59.6%,62.9%,57.1%,60.6%,42.9%,52.0%,1.09
vs Righties,11,4,7,36.4%,12-16,42.9%,122-135,47.5%,2-1,66.7%,11,61.0%,34.4%,2.0%,5.2%,61.0%,63.5%,43.8%,55.8%,43.4%,49.3%,0.98
vs Lefties,1,1,0,100.0%,2-1,66.7%,18-15,54.5%,0-1,0.0%,1,81.3%,31.3%,1.9%,3.8%,59.6%,62.9%,57.1%,60.6%,42.9%,52.0%,1.09
vs Top 10,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,77.8%,0.0%,3.6%,3.6%,62.5%,74.3%,38.1%,60.7%,25.0%,42.9%,0.64
