Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R128,L vs Rybakina,23.2%,33.9%,51.2%,28.6%,42.9%,64.0%,64.7%,44.4%,-,15.8%,21.1%,31.3%,16.7%,46.2%,0.0%,11
2023 US Open R32,L vs Swiatek,18.8%,21.9%,16.7%,17.6%,23.5%,21.4%,70.0%,14.3%,0.0%,23.1%,23.1%,10.0%,66.7%,100.0%,100.0%,57
2023 US Open Q2,L vs Kaji,20.6%,27.5%,51.3%,31.7%,36.7%,48.8%,53.6%,62.5%,80.0%,5.1%,15.4%,54.1%,41.2%,81.8%,100.0%,-64
2023 Australian Open R64,L vs Rybakina,6.7%,15.6%,42.9%,9.7%,19.4%,57.1%,23.1%,33.3%,50.0%,0.0%,7.1%,14.3%,30.0%,50.0%,100.0%,-119
2023 Australian Open R128,W vs Janicijevic,23.1%,36.5%,65.0%,22.9%,42.9%,74.1%,29.4%,61.1%,50.0%,23.5%,23.5%,46.2%,12.5%,66.7%,0.0%,-104
2022 US Open R128,L vs Bucsa,26.7%,33.3%,42.9%,28.9%,39.5%,51.9%,40.0%,47.8%,33.3%,25.0%,25.0%,26.7%,30.8%,14.3%,0.0%,6
2022 Granby R32,L vs Brace,21.2%,27.3%,44.9%,17.0%,25.5%,48.7%,29.2%,60.9%,100.0%,37.5%,37.5%,30.0%,40.0%,27.3%,66.7%,87
2022 Wimbledon R128,W vs Haddad Maia,36.7%,43.0%,54.3%,47.8%,54.3%,66.7%,30.4%,30.4%,-,24.1%,31.0%,40.9%,27.3%,22.2%,-,42
2022 Roland Garros R64,L vs Badosa,13.3%,25.7%,44.4%,17.5%,33.3%,46.2%,40.0%,30.3%,0.0%,7.3%,14.6%,42.1%,42.1%,81.8%,33.3%,-75
2022 Roland Garros R128,W vs Selekhmeteva,22.1%,31.4%,42.2%,25.5%,42.6%,51.4%,32.0%,50.0%,33.3%,19.4%,19.4%,31.0%,33.3%,41.7%,40.0%,-11
2022 Strasbourg F,L vs Kerber,13.3%,25.9%,51.2%,16.1%,28.7%,56.2%,36.6%,41.3%,75.0%,9.4%,22.6%,43.8%,72.2%,42.9%,14.3%,-39
2022 Strasbourg R32,W vs Glushko,20.7%,34.5%,47.8%,25.7%,42.9%,50.0%,6.3%,42.1%,71.4%,13.0%,21.7%,45.0%,8.3%,81.8%,100.0%,-104
2022 Indian Wells R64,L vs Sorribes Tormo,14.9%,26.6%,55.7%,21.8%,41.8%,53.5%,40.9%,69.7%,66.7%,5.3%,5.3%,58.3%,25.0%,27.8%,100.0%,-73
2022 Adelaide R16,W vs Sabalenka,18.3%,46.7%,55.1%,18.9%,51.4%,60.0%,55.6%,63.2%,100.0%,17.4%,39.1%,47.4%,44.4%,64.3%,100.0%,-104
2021 Cluj Napoca R32,L vs Cristian,24.4%,33.6%,53.8%,37.1%,51.4%,54.5%,33.3%,37.8%,33.3%,10.9%,14.5%,53.1%,20.0%,48.6%,100.0%,-5
2021 Wimbledon R32,L vs Gauff,20.0%,22.0%,34.2%,22.6%,25.8%,45.8%,30.0%,72.7%,50.0%,17.6%,17.6%,14.3%,60.0%,58.3%,100.0%,23
2021 Wimbledon R128,W vs Bencic,24.2%,37.1%,46.7%,27.8%,41.7%,65.4%,17.6%,36.8%,33.3%,20.8%,33.3%,21.1%,16.7%,83.3%,100.0%,-11
2021 Roland Garros R128,L vs Swiatek,16.4%,19.4%,40.0%,17.8%,22.2%,51.4%,34.8%,72.7%,75.0%,14.3%,14.3%,16.7%,0.0%,84.6%,83.3%,-49
2021 Monterrey R32,W vs Osorio,26.2%,36.1%,44.4%,29.3%,39.0%,44.8%,19.0%,55.0%,50.0%,20.0%,30.0%,43.8%,22.2%,54.5%,100.0%,-104
2021 Australian Open R32,L vs Brady,11.8%,25.5%,40.5%,10.3%,31.0%,38.5%,21.4%,73.3%,100.0%,15.8%,21.1%,43.8%,20.0%,100.0%,100.0%,38
Last 52 Weeks (1 matches),,23.2%,33.9%,51.2%,28.6%,42.9%,64.0%,64.7%,44.4%,-,15.8%,21.1%,31.3%,16.7%,46.2%,0.0%,11
Career (30 matches),,20.1%,30.2%,47.1%,24.3%,36.8%,51.0%,33.2%,51.4%,56.8%,14.7%,21.4%,41.4%,30.6%,58.8%,59.0%,-13
