Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Australian Open R128,L vs Rybakina,64.3%,38.9%,5.4%,1/2,2.66,5.0%,60.0%,28.6%,5.7%,2.80,4.2%,71.4%,53.3%,4.8%,2.42,6.3%
2023 US Open R32,L vs Swiatek,82.4%,17.9%,5.9%,2/0,2.87,0.0%,78.9%,20.0%,0.0%,3.14,0.0%,92.9%,15.4%,14.3%,2.48,0.0%
2023 US Open Q2,L vs Kaji,83.7%,54.2%,1.2%,0/1,2.48,12.8%,86.0%,48.8%,0.0%,2.46,24.4%,87.9%,62.1%,3.0%,2.51,0.0%
2023 Australian Open R64,L vs Rybakina,53.5%,43.5%,11.6%,3/2,2.38,0.0%,43.5%,30.0%,8.7%,2.39,0.0%,68.4%,53.8%,15.8%,2.34,0.0%
2023 Australian Open R128,W vs Janicijevic,70.2%,60.0%,0.0%,0/0,2.41,26.3%,66.7%,58.3%,0.0%,2.29,32.0%,94.1%,62.5%,0.0%,2.63,15.4%
2022 US Open R128,L vs Bucsa,79.7%,39.2%,9.4%,5/1,2.28,2.4%,82.6%,42.1%,4.3%,2.30,3.8%,76.5%,30.8%,23.5%,2.25,0.0%
2022 Granby R32,L vs Brace,78.9%,42.9%,4.2%,2/1,2.47,0.0%,82.6%,39.5%,6.5%,2.44,0.0%,85.7%,50.0%,0.0%,2.58,0.0%
2022 Wimbledon R128,W vs Haddad Maia,73.9%,41.2%,7.6%,5/2,2.62,2.2%,79.4%,40.0%,3.2%,2.50,4.2%,75.0%,44.4%,20.8%,2.76,0.0%
2022 Roland Garros R64,L vs Badosa,78.7%,44.3%,7.9%,3/4,2.23,8.0%,85.2%,39.1%,3.7%,2.17,14.0%,80.0%,54.2%,16.7%,2.32,0.0%
2022 Roland Garros R128,W vs Selekhmeteva,80.4%,54.1%,13.0%,7/5,2.62,12.5%,89.4%,50.8%,6.1%,2.68,22.9%,75.0%,66.7%,40.0%,2.55,0.0%
2022 Strasbourg F,L vs Kerber,81.0%,52.4%,4.6%,6/1,2.34,1.7%,83.8%,48.4%,1.8%,2.35,2.8%,83.8%,64.5%,13.5%,2.33,0.0%
2022 Strasbourg R32,W vs Glushko,81.0%,63.8%,6.9%,4/0,2.40,2.2%,91.2%,54.8%,2.9%,2.36,4.0%,72.7%,81.3%,13.6%,2.44,0.0%
2022 Indian Wells R64,L vs Sorribes Tormo,79.1%,43.1%,1.1%,1/0,2.33,6.4%,78.5%,31.4%,0.0%,2.38,11.6%,80.8%,71.4%,3.8%,2.27,0.0%
2022 Adelaide R16,W vs Sabalenka,48.5%,62.5%,4.5%,0/3,2.68,12.2%,65.6%,61.9%,6.3%,2.57,20.0%,68.8%,63.6%,6.3%,2.84,0.0%
2021 Cluj Napoca R32,L vs Cristian,74.1%,41.0%,1.8%,1/1,2.59,9.8%,73.2%,46.2%,0.0%,2.44,20.9%,81.6%,32.3%,5.3%,2.73,0.0%
2021 Wimbledon R32,L vs Gauff,62.1%,50.0%,3.4%,0/2,2.48,5.3%,66.7%,45.5%,6.1%,2.38,4.2%,66.7%,57.1%,0.0%,2.66,7.1%
2021 Wimbledon R128,W vs Bencic,76.1%,54.9%,13.4%,6/3,2.42,17.8%,80.6%,48.3%,8.3%,2.28,30.8%,88.0%,63.6%,24.0%,2.61,0.0%
2021 Roland Garros R128,L vs Swiatek,78.9%,37.8%,3.5%,0/2,2.39,9.1%,88.2%,40.0%,2.9%,2.51,10.8%,75.0%,33.3%,5.0%,2.16,5.6%
2021 Monterrey R32,W vs Osorio,80.3%,55.7%,9.2%,3/4,2.46,8.9%,89.6%,53.5%,10.4%,2.43,13.8%,78.3%,61.1%,8.7%,2.51,0.0%
2021 Australian Open R32,L vs Brady,85.7%,45.0%,2.9%,1/1,2.54,16.7%,85.3%,37.9%,5.9%,2.19,26.9%,88.6%,51.6%,0.0%,3.11,0.0%
Last 52 Weeks (1 matches),,64.3%,38.9%,5.4%,33.3%,2.66,5.0%,60.0%,28.6%,5.7%,2.80,4.2%,71.4%,53.3%,4.8%,2.42,6.3%
Career (30 matches),,75.8%,47.4%,5.6%,56.8%,2.47,9.1%,79.6%,44.0%,3.6%,2.43,13.3%,80.8%,53.8%,10.3%,2.53,2.9%
