Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,2,3,40.0%,4-6,40.0%,40-54,42.6%,1-0,100.0%,5,60.9%,23.4%,2.3%,6.2%,60.9%,62.0%,43.3%,54.7%,40.1%,47.1%,0.89,R16 (2x)
2025,9,4,5,44.4%,13-13,50.0%,123-117,51.2%,1-2,33.3%,9,67.8%,36.1%,1.8%,5.1%,60.5%,65.1%,46.9%,57.9%,43.8%,50.6%,1.04,SF (Hamburg)
2024,2,1,1,50.0%,2-2,50.0%,14-17,45.2%,0-0,-,2,68.8%,26.7%,1.0%,5.2%,66.7%,53.1%,59.4%,55.2%,37.1%,46.1%,0.83,R64 (Australian Open)
2023,20,10,10,50.0%,22-20,52.4%,196-183,51.7%,0-2,0.0%,18,69.4%,33.5%,3.1%,3.1%,62.1%,64.9%,48.9%,58.8%,41.0%,49.9%,0.99,SF (BJK Cup Finals)
2022,33,19,14,57.6%,45-30,60.0%,412-351,54.0%,6-10,37.5%,31,69.1%,39.0%,3.1%,3.1%,60.5%,62.9%,50.1%,57.8%,45.0%,51.3%,1.07,F (Strasbourg)
2021,27,13,14,48.1%,28-30,48.3%,261-286,47.7%,5-3,62.5%,25,64.4%,29.3%,3.7%,2.7%,57.0%,63.0%,48.2%,56.6%,41.6%,49.2%,0.96,SF (Portoroz)
2020,13,6,7,46.2%,15-16,48.4%,138-152,47.6%,2-1,66.7%,13,52.1%,43.1%,2.6%,2.2%,66.4%,53.8%,43.6%,50.3%,47.9%,49.2%,0.96,R16 (2x)
2019,10,3,7,30.0%,8-16,33.3%,110-124,47.0%,0-2,0.0%,10,65.8%,29.7%,2.8%,3.8%,62.9%,61.8%,49.0%,57.0%,40.6%,48.9%,0.94,R16 (Bucharest)
2018,2,1,1,50.0%,3-2,60.0%,22-20,52.4%,0-0,-,2,52.4%,52.4%,1.4%,5.6%,59.7%,64.0%,31.0%,50.7%,51.4%,51.1%,1.04,
2017,1,0,1,0.0%,1-2,33.3%,14-18,43.8%,1-0,100.0%,1,46.7%,37.5%,1.7%,4.2%,70.8%,54.1%,42.9%,50.8%,47.6%,49.3%,0.97,
Career,122,59,63,48.4%,141-137,50.7%,1330-1322,50.2%,16-20,44.4%,116,65.0%,35.1%,2.9%,3.3%,61.1%,61.8%,47.8%,56.4%,43.5%,49.9%,1.00,
