Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,7,2,5,28.6%,2,0,2,0.0%,2014,2024,Q2,5,0.97,4.1%,8.0%,63.9%,64.5%,37.8%,54.9%,43.6%,56.4%,35.5%
Roland Garros,3,Clay,3,0,3,0.0%,1,0,1,0.0%,2015,2024,Q1,2,0.83,1.6%,6.0%,72.7%,53.4%,30.0%,47.0%,44.0%,56.7%,32.1%
Wimbledon,4,Grass,6,2,4,33.3%,1,0,1,0.0%,2015,2023,Q2,3,0.95,4.5%,10.3%,61.3%,69.1%,40.4%,58.0%,39.8%,59.4%,39.3%
US Open,6,Hard,10,4,6,40.0%,3,1,2,33.3%,2013,2023,Q3,7,1.07,5.1%,7.1%,59.7%,71.3%,46.0%,61.1%,41.6%,60.4%,46.9%
Fed Cup,10,,25,10,15,40.0%,4,1,3,25.0%,2010,2020,,4,0.92,6.4%,12.2%,50.8%,66.7%,41.4%,54.2%,42.2%,46.9%,48.3%
Berlin,2,Grass,3,1,2,33.3%,0,0,0,-,2022,2023,Q2,3,1.02,2.7%,5.5%,64.5%,68.3%,46.2%,60.5%,40.4%,47.8%,32.0%
Stuttgart,2,Clay,2,0,2,0.0%,0,0,0,-,2015,2023,Q1,1,0.73,3.4%,6.9%,69.0%,52.5%,55.6%,53.4%,34.0%,33.3%,25.0%
Tashkent,12,Hard,19,6,13,31.6%,2,1,1,50.0%,2008,2019,SF,14,0.87,5.4%,7.5%,56.2%,66.3%,42.4%,55.9%,38.3%,52.8%,44.6%
Moscow,5,Hard,6,1,5,16.7%,3,1,2,33.3%,2013,2018,Q2,4,0.80,2.6%,8.4%,59.2%,53.3%,36.2%,46.3%,43.0%,45.7%,43.6%
Istanbul,2,Clay,3,1,2,33.3%,0,0,0,-,2009,2016,Q2,2,0.87,2.9%,6.5%,63.8%,53.4%,40.0%,48.6%,44.7%,58.3%,36.4%
Baku,4,Hard,7,3,4,42.9%,0,0,0,-,2011,2015,R32,5,0.87,2.1%,7.4%,59.6%,56.9%,44.5%,51.9%,41.7%,52.8%,41.7%
