Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2009 Paris Masters R32,L vs Del Potro,38,40,1.0,20.8%,21.9%,23,39,0.6,14.7%,25.0%,6.4%,5.1%,2.0,14.2%,7.1%
2009 Beijing R16,W vs Gonzalez,24,11,2.2,22.6%,10.4%,12,11,1.1,13.2%,12.1%,9.9%,2.2%,0.8,14.2%,17.9%
2009 Australian Open R32,L vs Federer,34,31,1.1,19.2%,17.5%,20,29,0.7,13.2%,19.2%,5.3%,6.0%,1.4,19.2%,14.1%
2008 Moscow QF,W vs Davydenko,42,40,1.1,19.5%,18.6%,25,37,0.7,13.4%,19.9%,7.0%,4.3%,1.1,16.7%,14.9%
2008 Wimbledon SF,L vs Federer,25,31,0.8,13.8%,17.1%,12,31,0.4,7.8%,20.1%,4.5%,3.2%,1.8,19.3%,10.5%
2008 Wimbledon R16,W vs Wawrinka,33,33,1.0,13.8%,13.8%,26,28,0.9,12.3%,13.2%,6.6%,3.8%,0.5,10.8%,20.8%
2008 Wimbledon R64,W vs Djokovic,22,39,0.6,11.5%,20.3%,15,36,0.4,9.0%,21.6%,4.8%,4.2%,0.3,6.8%,25.0%
2008 Roland Garros R64,L vs Davydenko,20,44,0.5,14.1%,31.0%,16,42,0.4,12.6%,33.1%,8.7%,3.1%,1.1,13.4%,12.7%
2008 Australian Open R64,L vs Baghdatis,39,57,0.7,13.7%,20.1%,27,57,0.5,10.2%,21.6%,5.3%,4.5%,0.8,13.4%,17.6%
2007 Wimbledon R32,L vs Federer,19,27,0.7,11.7%,16.7%,14,26,0.5,9.8%,18.2%,3.5%,3.5%,1.1,19.8%,17.3%
2007 Wimbledon R64,W vs Qureshi,44,25,1.8,21.8%,12.4%,31,20,1.6,18.1%,11.7%,6.4%,7.6%,1.5,22.3%,14.9%
2007 Hamburg Masters R64,W vs Massu,23,33,0.7,15.2%,21.9%,18,32,0.6,12.7%,22.5%,8.5%,4.2%,0.4,9.3%,23.8%
2007 Rome Masters R32,L vs Davydenko,19,39,0.5,11.4%,23.4%,15,37,0.4,9.7%,23.9%,5.8%,3.9%,0.4,9.6%,25.1%
2007 Davis Cup RR,W vs Massu,30,19,1.6,19.9%,12.6%,28,17,1.6,20.1%,12.2%,11.5%,5.0%,0.8,16.6%,19.9%
2007 Australian Open R32,L vs Roddick,51,39,1.3,19.6%,15.0%,29,37,0.8,13.2%,16.8%,4.1%,7.7%,1.3,20.4%,15.4%
2006 Davis Cup RR,L vs Nalbandian,36,42,0.9,17.1%,20.0%,14,35,0.4,8.1%,20.2%,4.0%,3.5%,1.4,15.7%,11.4%
2006 Davis Cup RR,W vs Acasuso,56,31,1.8,24.5%,13.5%,39,31,1.3,19.0%,15.1%,7.8%,8.3%,1.6,20.5%,13.1%
2006 Moscow F,L vs Davydenko,28,37,0.8,14.6%,19.3%,21,34,0.6,11.8%,19.1%,3.9%,3.4%,0.7,12.0%,17.2%
2006 Moscow R32,W vs Mahut,27,5,5.4,28.1%,5.2%,16,4,4.0,20.5%,5.1%,10.3%,7.7%,1.5,18.8%,12.5%
2006 US Open R64,W vs Nalbandian,53,57,0.9,16.9%,18.2%,39,50,0.8,14.1%,18.1%,8.3%,2.9%,0.6,11.5%,18.5%
Career (90 matches),,3393,3316,1.0,18.3%,17.9%,2350,3092,0.8,14.4%,19.0%,7.4%,5.8%,0.9,15.0%,16.0%
