Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,358,216,142,60.3%,540-398,57.6%,4901-4490,52.2%,102-91,52.8%,337,82.9%,21.7%,11.5%,3.1%,54.6%,76.3%,52.9%,65.7%,37.2%,51.2%,1.08
Clay,203,121,82,59.6%,319-242,56.9%,2888-2638,52.3%,44-45,49.4%,179,78.3%,26.4%,8.1%,2.7%,55.0%,72.4%,50.3%,62.5%,40.0%,51.1%,1.07
Grass,45,26,19,57.8%,77-63,55.0%,749-708,51.4%,21-17,55.3%,43,85.7%,17.7%,10.5%,2.8%,60.7%,75.7%,53.1%,66.8%,34.6%,50.7%,1.04
Carpet,87,61,26,70.1%,146-85,63.2%,1300-1145,53.2%,39-28,58.2%,73,86.4%,18.7%,12.9%,2.5%,55.3%,78.1%,54.5%,67.6%,35.5%,51.4%,1.09
Grand Slams,134,95,39,70.9%,305-196,60.9%,2667-2343,53.2%,56-37,60.2%,133,83.1%,23.4%,10.5%,2.7%,56.1%,76.0%,52.1%,65.5%,38.0%,51.6%,1.10
Masters,197,115,82,58.4%,260-205,55.9%,2410-2237,51.9%,49-48,50.5%,195,81.1%,22.6%,10.1%,3.0%,54.5%,75.0%,51.6%,64.4%,37.8%,50.9%,1.06
Other Tours,315,189,126,60.0%,434-316,57.9%,3970-3651,52.1%,86-82,51.2%,300,82.3%,21.7%,10.8%,2.9%,55.1%,75.0%,53.0%,65.1%,37.3%,51.0%,1.07
Best of 5,174,121,53,69.5%,396-255,60.8%,3463-3053,53.1%,74-48,60.7%,141,83.0%,23.3%,10.7%,2.7%,56.1%,75.9%,52.1%,65.4%,38.0%,51.5%,1.10
Best of 3,519,303,216,58.4%,686-533,56.3%,6375-5928,51.8%,132-133,49.8%,491,81.8%,21.9%,10.5%,3.0%,54.9%,75.0%,52.4%,64.8%,37.4%,50.9%,1.06
Finals,30,15,15,50.0%,48-38,55.8%,438-421,51.0%,9-7,56.3%,27,81.2%,21.0%,10.9%,2.3%,57.1%,72.7%,53.0%,64.3%,36.7%,50.5%,1.03
Semi-finals,48,27,21,56.3%,62-59,51.2%,640-618,50.9%,17-19,47.2%,46,83.9%,19.2%,11.7%,2.2%,55.7%,76.4%,53.0%,66.0%,36.5%,50.9%,1.07
Quarter-finals,70,46,24,65.7%,107-68,61.1%,929-844,52.4%,25-14,64.1%,68,83.1%,21.1%,10.7%,2.8%,56.6%,75.1%,53.2%,65.6%,37.1%,51.2%,1.08
vs Righties,610,376,234,61.6%,970-691,58.4%,8758-7932,52.5%,184-157,54.0%,552,82.3%,22.7%,10.6%,2.9%,55.2%,75.3%,52.4%,65.0%,37.8%,51.2%,1.08
vs Lefties,83,48,35,57.8%,112-97,53.6%,1080-1049,50.7%,22-24,47.8%,80,81.7%,19.9%,10.4%,2.9%,56.0%,75.2%,52.0%,65.0%,36.4%,50.5%,1.04
vs Top 10,99,49,50,49.5%,138-146,48.6%,1452-1473,49.6%,32-37,46.4%,84,81.8%,17.8%,11.2%,2.5%,55.3%,74.7%,51.5%,64.3%,35.0%,49.7%,0.98
