Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2009 Paris R32,L vs Del Potro,3.2,3.5,2.9,46.1%,44.1%,66.7%,50.0%,49.1%,10.8%,-10.0,-9.7,4.0,4.2
2009 Beijing R32,W vs Gonzalez,3.8,4.3,3.4,60.0%,54.2%,50.0%,37.5%,40.9%,13.8%,-2.5,-4.2,6.0,7.4
2009 Australian Open R32,L vs Federer,3.7,4.0,3.4,44.9%,25.0%,57.1%,66.7%,52.4%,6.6%,-7.5,-6.0,-0.5,-0.5
2008 Moscow QF,W vs Davydenko,3.5,3.1,3.9,53.1%,47.2%,47.8%,36.4%,46.2%,11.7%,-0.5,-0.4,5.0,3.6
2008 Wimbledon SF,L vs Federer,3.0,3.2,2.8,45.8%,48.5%,20.0%,55.6%,48.2%,4.9%,-8.5,-9.3,-0.5,-0.5
2008 Wimbledon R16,W vs Wawrinka,3.1,3.3,2.8,57.8%,57.6%,33.3%,50.0%,59.9%,12.1%,12.0,8.2,8.5,9.1
2008 Wimbledon R64,W vs Djokovic,3.1,3.3,2.9,56.2%,50.0%,57.9%,58.3%,44.7%,8.9%,5.0,4.9,-2.5,-2.1
2008 Roland Garros R64,L vs Davydenko,3.6,4.0,3.0,37.2%,50.0%,57.1%,40.0%,47.1%,6.7%,0.0,0.0,-4.5,-3.6
2008 Australian Open R64,L vs Baghdatis,4.6,4.7,4.5,52.4%,42.3%,63.0%,40.6%,41.4%,9.7%,4.0,1.9,0.0,0.0
2007 Wimbledon R32,L vs Federer,3.4,3.7,3.1,40.7%,51.4%,50.0%,33.3%,52.3%,14.6%,-7.0,-6.7,8.0,9.1
2007 Wimbledon R64,W vs Qureshi,3.1,3.4,2.7,52.2%,61.7%,75.0%,33.3%,45.3%,24.4%,4.5,4.9,16.5,18.3
2007 Hamburg R64,W vs Massu,5.1,5.1,5.1,54.8%,45.7%,50.0%,62.5%,50.0%,10.0%,-3.0,-1.9,5.5,3.6
2007 Rome R32,L vs Davydenko,5.9,5.8,6.1,53.4%,41.2%,28.0%,54.3%,49.5%,10.3%,-5.0,-2.4,-2.0,-1.0
2007 Davis Cup World Group R1 RR,W vs Massu,4.7,5.5,3.7,57.0%,63.2%,52.9%,64.7%,39.1%,6.3%,14.5,13.7,6.5,3.9
2007 Australian Open R32,L vs Roddick,4.4,5.2,3.4,50.6%,50.0%,54.2%,35.9%,39.5%,15.2%,-4.5,-3.0,5.5,2.3
2006 Davis Cup World Group F RR,W vs Acasuso,3.7,3.3,4.0,54.5%,46.7%,44.0%,58.3%,47.6%,18.9%,5.0,3.8,12.0,9.2
2006 Davis Cup World Group F RR,L vs Nalbandian,3.6,3.3,4.0,49.6%,37.7%,42.9%,43.8%,46.8%,17.8%,-2.5,-1.9,-6.0,-4.7
2006 Moscow F,L vs Davydenko,3.9,3.5,4.3,51.2%,36.8%,50.0%,27.8%,44.5%,13.6%,-12.0,-9.3,-0.5,-0.4
2006 Moscow R32,W vs Mahut,2.9,3.3,2.5,52.2%,80.0%,83.3%,33.3%,66.7%,12.5%,7.5,12.7,7.0,25.9
2006 US Open R64,W vs Nalbandian,3.7,4.0,3.4,49.2%,50.7%,57.6%,39.1%,49.1%,12.3%,8.0,3.5,-2.0,-0.9
Career (90 matches),,4.0,4.0,4.0,51.8%,48.8%,49.3%,50.9%,46.3%,10.2%,4.0,2.7,4.6,2.9
