Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2009 Paris R32,L vs Del Potro,55.6%,40.0%,2.5%,2/0,2.47,9.8%,48.0%,41.7%,2.0%,2.32,19.2%,70.0%,38.1%,3.3%,2.57,2.9%
2009 Beijing R32,W vs Gonzalez,65.5%,44.7%,0.0%,0/0,2.21,53.1%,70.0%,38.1%,0.0%,1.91,64.7%,85.0%,52.9%,0.0%,2.53,40.0%
2009 Australian Open R32,L vs Federer,58.4%,38.5%,2.2%,1/1,2.13,59.7%,44.4%,33.3%,1.9%,1.76,57.1%,82.4%,42.9%,2.9%,2.30,61.0%
2008 Moscow QF,W vs Davydenko,67.0%,46.6%,4.6%,3/2,2.09,12.9%,55.7%,47.1%,3.3%,2.10,21.6%,92.9%,46.2%,7.1%,2.08,0.0%
2008 Wimbledon SF,L vs Federer,54.4%,40.8%,4.4%,1/3,1.77,52.7%,48.4%,46.7%,3.2%,1.60,44.8%,67.9%,31.6%,7.1%,1.96,61.5%
2008 Wimbledon R16,W vs Wawrinka,64.0%,61.6%,4.4%,5/0,2.36,50.0%,61.3%,60.5%,0.0%,2.12,70.6%,79.5%,62.9%,11.4%,2.53,34.8%
2008 Wimbledon R64,W vs Djokovic,52.6%,56.9%,2.1%,2/0,1.99,19.2%,50.0%,51.6%,1.6%,1.83,34.8%,80.0%,65.0%,4.0%,2.12,6.9%
2008 Roland Garros R64,L vs Davydenko,51.9%,42.5%,2.6%,1/1,2.14,6.2%,71.4%,36.7%,2.4%,2.13,12.1%,58.8%,60.0%,5.9%,2.15,0.0%
2008 Australian Open R64,L vs Baghdatis,69.4%,45.2%,1.5%,1/1,2.23,28.0%,60.0%,43.8%,1.3%,2.28,48.1%,90.0%,46.7%,2.0%,2.19,9.1%
2007 Wimbledon R32,L vs Federer,53.5%,45.7%,3.5%,1/2,2.25,63.2%,38.5%,35.0%,3.8%,2.09,46.7%,86.7%,53.8%,3.3%,2.42,81.5%
2007 Wimbledon R64,W vs Qureshi,63.8%,55.0%,4.3%,2/2,2.17,35.4%,58.2%,51.3%,4.5%,2.45,27.3%,80.8%,61.9%,3.8%,1.91,43.8%
2007 Hamburg R64,W vs Massu,79.2%,47.5%,0.0%,0/0,2.02,7.3%,83.7%,41.5%,0.0%,2.16,10.3%,83.3%,60.0%,0.0%,1.87,3.8%
2007 Rome R32,L vs Davydenko,79.1%,44.1%,2.3%,1/1,2.39,1.5%,78.9%,40.0%,3.5%,2.40,3.1%,92.0%,52.2%,0.0%,2.39,0.0%
2007 Davis Cup World Group R1 RR,W vs Massu,70.3%,64.4%,1.6%,1/0,2.00,8.2%,65.2%,53.3%,0.0%,2.11,15.6%,93.8%,86.7%,6.3%,1.88,0.0%
2007 Australian Open R32,L vs Roddick,63.7%,48.1%,2.4%,1/2,2.41,12.5%,58.1%,44.0%,0.0%,2.29,15.4%,80.6%,55.2%,8.3%,2.58,8.3%
2006 Davis Cup World Group F RR,W vs Acasuso,70.7%,41.5%,2.6%,0/3,2.02,36.8%,60.0%,33.3%,3.3%,1.92,61.5%,83.6%,47.8%,1.8%,2.16,3.4%
2006 Davis Cup World Group F RR,L vs Nalbandian,67.4%,43.8%,8.4%,4/4,1.99,7.5%,66.1%,43.6%,3.4%,1.88,12.9%,71.4%,44.0%,17.1%,2.07,2.8%
2006 Moscow F,L vs Davydenko,66.3%,40.0%,9.6%,5/3,2.15,8.8%,63.2%,33.3%,8.8%,2.00,16.7%,86.4%,52.6%,13.6%,2.28,0.0%
2006 Moscow R32,W vs Mahut,58.3%,53.6%,4.2%,2/0,2.95,45.5%,56.3%,44.4%,3.1%,2.94,37.5%,71.4%,70.0%,7.1%,2.96,50.0%
2006 US Open R64,W vs Nalbandian,59.8%,49.0%,1.2%,2/0,1.92,11.6%,57.7%,46.4%,2.1%,1.88,23.4%,75.0%,52.4%,0.0%,1.95,0.0%
Career (90 matches),,66.5%,49.0%,2.9%,49.3%,2.14,25.4%,61.8%,45.7%,2.1%,2.05,35.4%,83.1%,52.8%,4.5%,2.21,17.0%
