Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2009,,,50,1795,47,1740,57,1740,35,1730,,,,
2008,29,1025,48,1815,54,1729,38,1778,29,1760,307,175,,
2007,56,610,43,1813,42,1758,42,1757,39,1710,171,335,,
2006,26,1015,23,1893,22,1839,38,1789,35,1715,127,425,66,1618
2005,12,1730,8,1964,8,1921,11,1904,13,1791,264,180,,
2004,4,3060,6,1994,5,1936,7,1919,42,1712,170,280,78,1582
2003,77,465,60,1785,70,1695,16,1876,,,276,160,,
2002,3,2845,6,1998,14,1889,6,1967,12,1810,105,565,54,1630
2001,11,1920,11,1987,8,1958,10,1909,15,1812,85,735,,
2000,2,4120,1,2100,1,2027,2,2023,17,1788,108,555,,
1999,24,1437,26,1893,22,1850,44,1804,81,1610,110,598,,
1998,49,852,80,1762,64,1724,105,1669,102,1560,451,87,,
1997,203,211,208,1550,248,1410,168,1561,,,431,97,,
1996,445,57,,,,,,,,,1085,9,,
