Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,40,31,9,77.5%,29,18,11,62.1%,1999,2009,W,39,1.12,12.0%,2.1%,55.0%,76.4%,53.7%,66.2%,37.8%,65.3%,44.8%
Roland Garros,11,Clay,37,26,11,70.3%,19,8,11,42.1%,1998,2009,SF,37,1.11,8.0%,2.5%,55.7%,73.4%,50.4%,63.2%,40.8%,64.7%,38.6%
Wimbledon,10,Grass,26,16,10,61.5%,23,14,9,60.9%,1998,2009,SF,26,1.06,10.7%,3.2%,61.4%,76.3%,52.5%,67.1%,34.8%,67.4%,38.1%
US Open,10,Hard,31,22,9,71.0%,22,16,6,72.7%,1998,2009,W,31,1.11,11.9%,3.5%,53.7%,78.6%,52.2%,66.4%,37.3%,59.1%,38.0%
Olympics,2,,3,1,2,33.3%,1,0,1,0.0%,2000,2004,R32,0,,,,,,,,,,
Davis Cup,11,,36,21,15,58.3%,24,14,10,58.3%,1998,2009,,0,,,,,,,,,,
Moscow,12,Hard,30,18,12,60.0%,21,13,8,61.9%,1997,2009,F,26,1.04,12.5%,2.3%,58.0%,75.2%,54.4%,66.4%,35.0%,57.8%,31.4%
Indian Wells Masters,11,Hard,24,13,11,54.2%,9,5,4,55.6%,1999,2009,R16,24,1.00,8.8%,2.7%,54.6%,73.4%,51.3%,63.4%,36.5%,60.8%,37.7%
Miami Masters,11,Hard,18,7,11,38.9%,14,6,8,42.9%,1999,2009,QF,18,0.97,9.4%,3.5%,54.7%,73.8%,48.3%,62.2%,36.7%,59.7%,32.8%
Monte Carlo Masters,10,Clay,22,12,10,54.5%,6,0,6,0.0%,1999,2009,SF,22,1.06,6.8%,3.7%,54.5%,71.1%,49.4%,61.2%,41.1%,64.9%,41.4%
Cincinnati Masters,10,Hard,19,9,10,47.4%,9,4,5,44.4%,1999,2009,QF,19,1.04,10.6%,5.0%,52.5%,77.3%,55.8%,67.1%,34.1%,59.3%,29.0%
Rome Masters,10,Clay,19,9,10,47.4%,8,2,6,25.0%,1999,2009,R16,19,1.06,7.4%,3.3%,53.0%,71.7%,48.9%,61.0%,41.5%,61.7%,35.4%
