Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,3,1,2,33.3%,3-5,37.5%,39-41,48.8%,0-0,-,3,66.7%,31.7%,3.8%,7.2%,68.1%,60.9%,45.2%,55.9%,42.7%,49.1%,0.97,R16 (Caldas Da Rainha 125)
2014,3,2,1,66.7%,4-3,57.1%,31-31,50.0%,0-0,-,0,,,,,,,,,,,,QF (Prague 100K)
2013,16,11,5,68.8%,22-14,61.1%,179-155,53.6%,2-1,66.7%,0,,,,,,,,,,,,W (Sanya 50K)
2012,40,27,13,67.5%,58-29,66.7%,460-357,56.3%,4-2,66.7%,0,,,,,,,,,,,,W (2x)
2011,57,38,19,66.7%,81-50,61.8%,643-536,54.5%,8-5,61.5%,0,,,,,,,,,,,,W (2x)
2010,40,25,15,62.5%,56-37,60.2%,484-400,54.8%,7-7,50.0%,0,,,,,,,,,,,,W (2x)
2009,43,29,14,67.4%,62-42,59.6%,534-488,52.3%,12-6,66.7%,0,,,,,,,,,,,,W (2x)
2008,12,8,4,66.7%,19-13,59.4%,176-155,53.2%,4-2,66.7%,0,,,,,,,,,,,,W (Bol 10K)
2007,18,5,13,27.8%,17-28,37.8%,178-218,44.9%,2-2,50.0%,0,,,,,,,,,,,,R16 (6x)
2006,3,1,2,33.3%,2-5,28.6%,27-39,40.9%,0-1,0.0%,0,,,,,,,,,,,,R16 (Cavtat 10K)
Career,235,147,88,62.6%,324-226,58.9%,2751-2420,53.2%,39-26,60.0%,3,66.7%,31.7%,3.8%,7.2%,68.1%,60.9%,45.2%,55.9%,42.7%,49.1%,0.97,
