Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Doha R64,W vs Sierra,86.5%,57.8%,5.8%,0/3,2.12,14.3%,88.5%,56.5%,3.8%,2.29,23.1%,91.7%,59.1%,8.3%,1.84,0.0%
2024 Toronto R64,W vs Podoroska,72.5%,48.3%,5.0%,1/3,2.32,11.5%,70.8%,44.1%,8.3%,2.37,14.3%,82.8%,54.2%,0.0%,2.20,5.3%
2024 Nottingham F,L vs Boulter,62.2%,56.5%,14.9%,6/5,2.94,28.1%,52.6%,55.0%,13.2%,2.91,37.8%,76.5%,57.7%,17.6%,3.01,5.3%
2024 Roland Garros R128,L vs Svitolina,71.8%,58.9%,2.6%,1/1,2.21,4.9%,72.2%,56.4%,3.7%,2.15,7.3%,77.3%,64.7%,0.0%,2.33,0.0%
2024 Doha QF,W vs Osaka,67.4%,50.0%,5.8%,2/3,2.13,4.4%,57.7%,46.7%,5.8%,2.21,5.9%,87.5%,53.6%,6.3%,1.88,0.0%
2024 Cluj Napoca F,W vs Bogdan,74.2%,60.9%,0.0%,0/0,2.38,38.5%,69.2%,63.0%,0.0%,2.51,50.0%,82.6%,57.9%,0.0%,1.95,0.0%
2024 Cluj Napoca SF,W vs Dart,76.6%,57.1%,6.3%,1/3,2.39,27.8%,80.6%,40.0%,6.5%,2.07,45.5%,92.3%,75.0%,7.7%,2.90,0.0%
2023 Montreal R32,L vs Swiatek,63.8%,45.9%,10.3%,5/1,2.67,6.8%,58.8%,45.0%,11.8%,2.63,10.3%,81.0%,47.1%,9.5%,2.74,0.0%
2023 Roland Garros R128,L vs Stephens,82.0%,46.0%,1.6%,1/0,2.37,5.0%,75.6%,35.5%,2.4%,2.36,6.7%,95.0%,63.2%,0.0%,2.41,0.0%
2023 Stuttgart QF,L vs Swiatek,67.9%,45.5%,1.2%,0/1,2.47,8.5%,67.3%,39.4%,0.0%,2.43,11.4%,78.6%,54.5%,3.6%,2.60,0.0%
2023 Abu Dhabi R16,L vs Rybakina,71.2%,29.7%,3.8%,1/1,2.48,8.8%,70.8%,29.4%,4.2%,2.50,11.5%,80.0%,30.0%,4.0%,2.42,0.0%
2023 Australian Open QF,L vs Linette,71.9%,39.1%,1.6%,0/1,2.59,0.0%,70.0%,39.3%,0.0%,2.59,0.0%,78.3%,38.9%,4.3%,2.59,0.0%
2022 Guadalajara R64,L vs Rybakina,60.3%,48.6%,5.2%,2/1,2.13,13.2%,58.6%,52.9%,6.9%,2.07,17.9%,66.7%,44.4%,3.7%,2.31,0.0%
2022 Ostrava R32,L vs Parks,52.4%,51.5%,12.7%,5/3,2.22,6.7%,59.0%,47.8%,15.4%,2.19,8.8%,58.8%,60.0%,11.8%,2.31,0.0%
2022 US Open QF,L vs Sabalenka,59.7%,43.2%,11.3%,4/3,1.87,15.9%,59.5%,44.0%,11.9%,1.80,21.2%,70.6%,41.7%,11.8%,2.07,0.0%
2022 US Open R16,W vs Azarenka,77.3%,50.0%,5.0%,2/4,2.31,4.4%,80.8%,47.6%,2.6%,2.21,6.5%,87.9%,55.2%,12.1%,2.51,0.0%
2022 Wimbledon R64,L vs Boulter,68.9%,46.8%,5.6%,2/3,2.39,12.5%,75.4%,40.8%,3.1%,2.35,15.4%,65.0%,69.2%,15.0%,2.53,0.0%
2022 Berlin R16,W vs Andreescu,69.6%,46.9%,8.7%,3/5,2.40,14.5%,66.0%,51.5%,6.0%,2.29,22.9%,79.5%,41.9%,12.8%,2.54,3.7%
2022 Indian Wells R64,L vs Kovinic,64.6%,59.7%,5.2%,2/3,2.81,30.1%,61.1%,48.5%,1.9%,2.67,52.4%,82.9%,72.4%,11.4%,3.00,0.0%
2021 Guadalajara Finals RR,W vs Krejcikova,67.1%,39.2%,5.3%,3/1,2.67,19.0%,72.9%,48.6%,8.3%,2.60,26.7%,80.0%,18.8%,0.0%,2.83,0.0%
Last 52 Weeks (1 matches),,86.5%,57.8%,5.8%,0.0%,2.12,14.3%,88.5%,56.5%,3.8%,2.29,23.1%,91.7%,59.1%,8.3%,1.84,0.0%
Career (173 matches),,69.0%,52.4%,4.9%,52.4%,2.42,14.2%,69.4%,49.8%,3.2%,2.36,21.2%,79.9%,56.7%,8.8%,2.51,3.7%
